claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
16276,69,M,0.0,81,42344,1,1,Rent,85044,8/23/2015,Sunday,Parking Lot,0,0.0,50,Broker,0,4097.915713,5.0,Compact,10494.07431,other,13562.609380000002,0
15194,26,M,1.0,62,32577,0,0,Rent,80014,11/8/2015,Sunday,Highway,0,0.0,47,Online,0,5031.672727,5.0,Medium,13880.62135,silver,25591.28869,0
5083,29,M,0.0,41,33668,1,1,Rent,15035,2/17/2016,Wednesday,Parking Lot,0,0.0,10,Online,0,3292.065439,3.0,Large,15188.08688,silver,77426.8362,0
28535,45,F,1.0,91,38056,1,0,Rent,80017,12/3/2015,Thursday,Local,0,0.0,0,Broker,0,6247.973394,4.0,Medium,19050.65256,gray,21453.26291,0
18801,53,F,1.0,88,39704,1,0,Own,50026,8/2/2015,Sunday,Highway,0,0.0,49,Broker,1,5249.085293,9.0,Medium,7713.326421,white,13488.64996,0
22630,38,M,1.0,54,36351,0,0,Rent,85037,9/16/2016,Friday,Local,1,1.0,100,Online,1,,6.0,Large,39341.64788,silver,39038.32735,0
4936,52,M,1.0,83,39521,0,1,Own,80026,2/23/2016,Tuesday,Local,0,,100,Broker,0,7230.832456,2.0,Medium,17567.81196,silver,18092.65503,0
18195,48,M,1.0,77,38724,0,1,Own,15052,7/31/2016,Sunday,Parking Lot,0,0.0,1,Phone,1,3955.272875,5.0,Large,21670.23555,other,11822.27755,0
23418,46,M,1.0,65,38301,0,0,Rent,85027,8/2/2016,Tuesday,Local,0,1.0,0,Broker,1,3062.724533,4.0,Compact,24656.29502,red,28000.96357,0
19185,41,M,1.0,57,37147,1,1,Own,85080,2/28/2015,Saturday,Parking Lot,0,1.0,30,Broker,0,3240.746174,7.0,Compact,11347.32963,gray,14181.23512,0
3463,50,M,1.0,81,39122,1,0,Rent,20141,9/21/2016,Wednesday,Local,1,0.0,48,Broker,1,6244.900165999999,2.0,Medium,33673.023839999994,red,23767.17852,0
24895,51,F,1.0,89,39306,1,0,Rent,80104,2/26/2016,Friday,Local,0,1.0,92,Broker,1,2633.564477,9.0,Compact,44842.29662,silver,10605.05617,0
6469,34,M,1.0,91,35264,1,0,Own,85071,3/4/2016,Friday,Local,0,1.0,92,Phone,1,8469.409726,3.0,Medium,13888.8196,silver,40111.48814,0
18823,30,M,1.0,95,34018,0,1,Own,50001,5/11/2015,Monday,Highway,0,0.0,51,Broker,0,2987.749943,4.0,Large,23126.34111,gray,18090.9081,0
12894,49,M,1.0,60,38927,1,1,Rent,50025,6/5/2015,Friday,Parking Lot,2,0.0,29,Phone,1,4794.728381,5.0,Compact,21723.27846,silver,14801.90551,0
27256,38,M,1.0,62,36371,1,0,Rent,85068,7/19/2016,Tuesday,Local,0,1.0,25,Phone,1,6347.537305,8.0,Large,36115.30413,black,21007.07259,0
6307,32,F,1.0,57,34651,1,0,Own,50020,9/15/2015,Tuesday,Parking Lot,0,0.0,8,Broker,0,2927.7891050000003,5.0,Large,14791.48884,red,15869.355,0
2609,49,F,0.0,59,38912,1,1,Own,85040,3/26/2016,Saturday,Parking Lot,0,0.0,18,Phone,0,2878.253488,3.0,Large,21536.59715,other,33966.539580000004,0
12199,56,M,1.0,91,40259,1,0,Own,20106,5/6/2016,Friday,Parking Lot,0,0.0,5,Broker,0,3891.305435,2.0,Compact,14393.42249,other,24033.16157,0
24164,38,M,1.0,60,36374,0,1,Rent,85055,3/27/2016,Sunday,Local,0,0.0,50,Broker,0,4934.283551,2.0,Large,59347.9315,red,32247.63414,0
17635,39,M,1.0,81,36635,1,0,Rent,80013,10/30/2015,Friday,Highway,1,1.0,96,Broker,1,4053.579909000001,8.0,Large,29991.61652,silver,26480.66253,0
15822,35,F,1.0,88,35554,0,1,Rent,50010,12/23/2015,Wednesday,Local,0,0.0,96,Broker,0,3276.632828,6.0,Compact,24739.20394,blue,21480.40924,0
3416,60,M,1.0,92,40942,1,1,Rent,85062,8/24/2015,Monday,Highway,0,0.0,2,Broker,0,3855.534481,3.0,Medium,24035.73346,black,25936.51371,0
14098,43,M,1.0,95,37590,1,0,Rent,50041,8/31/2015,Monday,Highway,0,0.0,85,Broker,0,5132.411347,2.0,Large,28354.88037,white,19919.52685,0
2605,44,M,0.0,79,37843,1,0,Rent,80037,4/27/2015,Monday,Highway,0,0.0,20,Broker,1,5652.652755,5.0,Large,38261.4602,other,40559.99887,0
3576,38,M,1.0,60,36393,1,0,Rent,50041,7/19/2015,Sunday,Parking Lot,0,0.0,50,Phone,1,4873.3454280000005,3.0,Large,24386.77462,red,16575.05375,0
12635,43,M,1.0,53,37610,1,1,Own,85050,3/10/2015,Tuesday,Parking Lot,0,0.0,100,Broker,1,5059.947873,3.0,Large,21144.62968,white,22983.66181,0
4008,41,F,0.0,80,37133,1,0,Rent,15010,1/26/2016,Tuesday,Highway,0,0.0,77,Phone,1,4754.247795,2.0,Compact,35839.48308,white,5653.489138,0
14955,39,M,1.0,51,36634,1,1,Own,15021,8/22/2016,Monday,Local,0,0.0,68,Broker,1,3390.074129,5.0,Medium,36879.49386,other,17901.10835,0
13406,44,F,0.0,87,37842,0,1,Rent,20152,7/29/2016,Friday,Local,0,0.0,1,Broker,0,3359.971333,7.0,Large,34171.96386,white,17283.509430000002,0
18363,50,M,1.0,87,39097,1,0,Own,20134,5/21/2016,Saturday,Highway,1,1.0,9,Broker,1,4282.478196999999,7.0,Large,25341.75975,gray,18629.28065,0
18100,48,F,1.0,20,38722,0,1,Rent,20103,9/8/2015,Tuesday,Highway,0,0.0,35,Broker,0,3798.877232,8.0,Medium,20373.11918,white,17921.14574,0
23839,22,F,1.0,84,30917,1,0,Rent,50020,3/9/2016,Wednesday,Local,0,0.0,7,Phone,0,4867.3585,4.0,Large,19005.43409,red,26033.42527,0
28629,44,F,1.0,55,37858,0,0,Own,15057,2/1/2015,Sunday,Parking Lot,0,0.0,2,Phone,0,1757.222891,4.0,Medium,18982.84361,gray,29568.12613,0
22400,46,M,1.0,79,38266,1,1,Rent,50047,6/1/2016,Wednesday,Local,1,1.0,21,Online,1,3005.652453,1.0,Compact,22865.92093,black,22644.5741,0
13459,66,M,1.0,52,41888,1,1,Rent,15010,9/10/2016,Saturday,Local,1,1.0,75,Phone,0,5616.720567,7.0,Compact,21984.94878,black,45940.28846,0
11626,31,F,1.0,62,34343,0,1,Rent,80108,5/18/2015,Monday,Parking Lot,1,0.0,18,Broker,1,2765.456971,6.0,Compact,20088.5583,silver,18285.3407,0
22185,22,M,1.0,61,30902,1,1,Own,85019,6/17/2016,Friday,Local,0,0.0,92,Phone,0,7581.837909999999,10.0,Compact,16878.16755,red,11404.27893,0
26402,61,F,1.0,72,41118,0,0,Rent,80017,1/8/2015,Thursday,Highway,0,0.0,43,Broker,1,4056.935424,5.0,Compact,29063.93286,silver,23730.07599,0
4930,53,M,1.0,74,39709,1,1,Own,85019,5/10/2015,Sunday,Parking Lot,0,0.0,19,Phone,0,6176.088303,3.0,Compact,15322.15884,gray,30115.15228,0
24040,36,F,1.0,82,35826,1,0,Rent,85001,3/18/2016,Friday,Local,0,0.0,3,Phone,1,2511.66329,3.0,Medium,16490.88798,silver,15402.19571,0
24352,30,F,1.0,55,34024,0,1,Own,15020,7/19/2015,Sunday,Local,0,0.0,90,Broker,0,5677.300907,5.0,Compact,10286.63011,black,14067.89999,0
18177,34,F,1.0,84,35265,1,0,Own,20120,8/22/2015,Saturday,Local,1,0.0,89,Broker,1,3673.409585,9.0,Compact,24322.27189,other,10105.15319,0
26512,33,F,0.0,89,34940,1,0,Own,80005,1/7/2016,Thursday,Local,0,0.0,99,Broker,0,12882.63195,5.0,Large,39911.88544,white,9052.323894,0
24327,52,M,0.0,87,39523,1,1,Own,50049,11/17/2015,Tuesday,Parking Lot,2,0.0,65,Broker,1,14839.88132,3.0,Large,23739.39824,silver,18254.381380000003,0
29601,51,F,0.0,50,39339,1,1,Own,80005,11/18/2016,Friday,Local,0,0.0,87,Broker,0,6807.694638,3.0,Compact,25610.23357,white,8057.286281000001,0
26229,54,F,1.0,81,39891,1,1,Own,80044,1/15/2015,Thursday,Parking Lot,0,1.0,1,Broker,1,4577.100506000001,6.0,Compact,11878.34879,blue,9940.231137,0
16721,48,F,0.0,82,38728,1,1,Rent,80035,1/2/2015,Friday,Local,1,1.0,50,Broker,1,5432.59196,2.0,Compact,27328.03036,white,15941.5235,0
7268,44,F,1.0,62,37837,1,1,Own,80014,5/8/2015,Friday,Local,0,1.0,66,Phone,0,3185.176213,5.0,Large,36297.48353,black,15738.24752,0
26119,46,F,1.0,80,38285,1,0,Own,85077,12/20/2015,Sunday,Local,0,0.0,98,Broker,1,5019.67058,7.0,Large,22655.37306,white,20023.47343,0
7412,38,M,1.0,93,36380,1,1,Rent,15010,3/3/2016,Thursday,Highway,0,0.0,17,Phone,0,3587.987896,9.0,Large,15271.76045,silver,10630.65897,0
29413,35,M,1.0,86,35553,1,0,Own,50040,4/21/2016,Thursday,Local,1,0.0,92,Broker,1,2205.438186,7.0,Large,13320.68452,blue,12255.86046,0
17720,49,F,1.0,26,38908,1,1,Own,85030,7/24/2016,Sunday,Parking Lot,2,0.0,25,Broker,0,5402.61618,5.0,Medium,9193.529712,gray,20006.4784,0
9144,35,F,1.0,70,35565,1,0,Own,15045,12/29/2016,Thursday,Parking Lot,2,0.0,63,Phone,1,4913.052334,3.0,Compact,15314.03899,white,5523.363472999999,0
2365,43,F,1.0,82,37606,0,1,Own,15057,6/13/2015,Saturday,Local,0,0.0,49,Phone,1,5523.72566,6.0,Medium,9937.598355,gray,7737.935165000001,0
13027,30,F,1.0,87,34025,1,0,Rent,50033,3/19/2015,Thursday,Local,0,1.0,59,Phone,1,4915.643511,10.0,Medium,15523.45612,black,14490.85868,0
20087,58,M,1.0,81,40598,1,1,Own,15003,7/22/2015,Wednesday,Local,3,0.0,99,Broker,1,3479.048811,7.0,Compact,22014.09956,gray,17411.17894,0
3452,49,M,1.0,68,38912,1,0,Rent,20160,7/15/2016,Friday,Local,0,1.0,95,Phone,0,5568.248594,7.0,Medium,7493.120879999999,white,16074.306019999998,0
14602,45,F,1.0,75,38053,1,1,Own,85061,5/26/2015,Tuesday,Local,0,0.0,71,Broker,1,6985.320924,8.0,Medium,24299.62474,white,12736.47019,0
9750,51,F,1.0,56,39333,1,1,Own,80020,10/19/2016,Wednesday,Local,0,0.0,85,Broker,0,7764.906293999999,2.0,Compact,20315.7153,blue,24105.00439,0
18352,46,F,0.0,91,38294,1,1,Rent,80006,5/27/2015,Wednesday,Highway,0,1.0,97,Broker,1,1226.625672,4.0,Large,32182.42445,silver,8545.816767,0
22621,50,M,0.0,79,39134,1,1,Rent,15046,9/29/2015,Tuesday,Local,0,0.0,0,Phone,1,3416.2061270000004,6.0,Medium,9010.153911,black,8358.985159,0
4153,30,M,1.0,49,34022,1,0,Rent,15047,11/8/2015,Sunday,Parking Lot,0,0.0,50,Broker,0,6424.171574,3.0,Compact,15265.10537,silver,12966.8881,0
