ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-21.56,-100.15,-24.18,0.01,0.87,0.94,409.28,319.55,346.51,26.16,0.78,3.64,4.64,-4.93,78.47,-23.55,1.86,9.48,18.65,125.08,1
-47.91,30.95,-24.18,0.08,0.36,0.36,184.17,113.43,402.29,0.17,2.55,-1.65,-0.65,85.33,254.81,-15.95,-6.58,21.32,67.23,654.21,1
0.41,2.62,0.33,0.01,0.87,1.0,287.58,187.81,203.78,30.52,0.84,5.34,6.34,7.34,84.22,5.12,1.0,11.01,5.46,62.07,1
-0.57,-2.03,-0.28,-0.13,1.16,1.51,183.15,151.62,117.9,42.44,0.72,2.59,3.59,30.14,72.11,0.02,33.79,0.0,15.41,158.26,1
9.25,75.01,6.64,0.06,0.71,0.72,261.96,146.61,225.62,3.75,0.88,7.11,8.11,22.35,87.67,17.82,0.34,0.0,9.4,42.75,1
0.06,2.84,0.05,0.0,3.46,3.46,297.24,293.04,84.75,,0.98,46.23,47.23,9.42,97.88,0.06,,0.0,7.62,79.27,1
-0.55,-1.47,-12.81,0.01,0.51,0.53,8543.63,2599.93,5243.84,146.02,0.63,1.68,2.69,0.73,62.76,1.84,0.67,0.01,29.91,58.79,1
-265.59,139.1,-30.15,0.0,0.34,0.34,41.43,40.29,118.74,,2.91,-1.52,-0.52,-129.59,290.94,-64.67,,0.0,15.44,100.91,1
35.96,71.33,41.35,-0.56,0.89,2.45,419.75,147.48,101.23,160.14,0.5,0.98,1.98,43.17,49.59,77.29,1.94,0.0,8.3,64.46,1
0.1,1.0,0.1,0.01,0.72,0.76,358.68,219.42,268.79,14.6,0.9,8.92,9.92,15.0,89.92,4.37,0.36,11.44,14.64,174.5,1
-15.8,-109.54,-24.71,0.01,0.35,0.44,570.63,152.32,394.19,40.81,0.86,5.93,6.93,7.54,85.57,-14.24,0.26,12.91,36.5,153.06,1
-1.25,-2.05,-5388.71,0.0,0.77,0.77,1575692.55,393216.56,598876.09,,0.39,0.64,1.64,-1.26,39.02,-3.12,0.87,0.0,-38.59,3.85,1
-28.73,-444.68,-46.49,0.06,1.07,1.09,590.66,214.72,210.86,2.99,0.93,14.43,15.48,2.06,93.54,-26.21,1.05,0.0,49.83,170.94,1
-202.95,16.99,-230.8,0.0,0.08,0.08,415.08,386.7,5001.19,0.44,12.95,-1.08,-0.08,-70.16,1294.87,-15.55,-239.78,0.0,151.01,358.82,1
-16.58,132.08,-12.27,0.02,0.66,0.67,270.12,174.13,290.34,1.19,1.1,-8.77,-7.97,0.87,112.55,-9.77,-0.44,0.0,12.91,290.34,1
-0.4,-13.6,-0.58,0.0,0.05,0.85,529.52,22.65,472.64,381.06,0.97,33.02,34.02,19.52,97.06,0.52,0.15,0.0,28.9,78.35,1
0.22,1.8,0.38,0.09,0.97,1.16,615.79,207.68,136.3,45.34,0.83,6.68,8.07,10.79,87.61,8.05,1.03,56.54,17.82,54.41,1
-31.25,2870.61,-26.96,0.16,0.41,0.55,314.87,67.58,293.37,43.09,1.01,-92.87,-91.87,-17.22,101.09,-23.57,0.1,3.42,12.1,-266.19,1
5.35,23.46,4.49,0.07,1.96,2.13,306.5,256.03,79.12,24.68,0.77,3.38,4.38,20.8,77.19,8.6,34.03,19.92,12.98,48.26,1
1.92,46.08,0.89,0.03,0.91,1.02,169.11,135.36,154.96,17.63,0.96,23.02,24.02,17.79,95.84,2.0,1.33,1.52,7.35,153.21,1
-139.95,112.9,-30.95,0.02,0.4,0.4,80.71,63.72,168.24,1.33,2.24,-1.81,-0.81,138.79,223.96,-59.37,-8.7,0.0,61.64,186.16,1
-1.95,-13.03,-1.47,0.17,1.11,1.12,274.8,215.44,200.95,1.52,0.85,5.69,6.69,21.58,85.06,-0.1,3.15,9.78,17.71,95.49,1
-20.22,-970.4,-11.39,0.23,0.56,0.57,205.64,39.96,126.48,1.41,0.98,46.98,47.98,14.25,97.92,-1.53,0.58,1.85,19.42,92.47,1
0.24,0.6,0.27,-0.14,0.57,1.52,401.91,95.71,156.18,151.56,0.59,1.45,2.45,7.57,59.2,0.8,1.32,11.36,8.07,89.98,1
85.03,213.24,187.95,0.0,2.94,2.96,806.8,481.64,116.12,3.39,0.6,1.5,2.51,98.49,60.13,167.39,2.27,23.03,29.76,137.72,1
-0.33,0.03,,0.0,0.09,0.09,,,,,11.42,-1.1,-0.1,-0.33,1141.76,-0.03,,0.0,,0.0,1
-20.5,-90.87,-75.29,0.16,0.25,0.61,1340.46,88.47,1020.42,371.43,0.77,3.43,4.43,-16.05,77.44,-17.4,0.43,0.0,16.36,-19.79,1
-1.11,434.85,-0.66,0.0,0.42,0.98,216.2,68.98,133.52,93.22,0.94,-369.49,-391.52,5.69,100.26,1.57,0.67,24.36,4.03,108.11,1
-9.43,-139.98,-6.51,0.03,0.89,1.07,252.17,190.01,162.88,41.83,0.93,13.83,14.85,27.03,93.26,-7.57,2.07,23.65,25.19,134.71,1
2.92,8.5,1.56,0.21,1.36,1.36,194.8,142.49,123.59,0.0,0.66,1.91,2.91,3.25,65.6,4.46,,0.0,0.17,10.21,1
