ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.18,-0.19,,0.0,0.12,0.41,,,,,1.96,-2.04,-1.04,0.18,196.34,0.09,-9.75,0.0,,0.0,-9.74,7.59,,0.0,0.13,0.45,,,,,2.28,-1.78,-0.78,-9.74,228.35,-4.27,-10.57,0.0,,0.0,1
4.14,7.96,3.04,0.02,1.91,1.91,267.11,172.35,84.1,0.05,0.48,0.92,1.92,44.08,47.94,8.8,1.92,6.2,29.3,62.2,4.13,9.31,,0.01,1.55,1.55,166.45,84.56,60.19,0.08,55.67,125.58,2.26,48.33,55.67,8.36,1.62,8.76,14.0,29.92,1
0.11,8.93,0.06,0.27,0.82,0.82,200.27,106.68,180.55,,0.99,80.84,81.84,4.71,98.78,0.78,0.07,7.54,2.53,32.61,0.03,3.18,,0.36,1.12,1.12,269.43,163.33,201.87,0.0,0.99,100.96,101.96,3.53,99.02,1.07,2.12,5.41,1.81,18.19,1
1.53,-116.17,2.13,0.01,0.52,0.99,508.46,256.28,447.04,238.22,1.01,-77.11,-76.11,7.6,101.31,3.02,-0.17,10.85,8.48,55.45,-0.24,-6.02,,0.13,0.42,1.04,747.74,199.04,633.88,442.43,0.96,24.47,25.47,4.33,96.07,0.42,11.95,9.64,6.95,61.04,1
19.29,152.82,15.32,0.03,1.2,1.21,289.2,195.08,206.26,2.2,0.87,6.92,7.92,30.12,87.38,24.36,2.46,2.78,8.6,-79.06,-8.14,-307.3,-23.71,0.01,1.08,1.09,1060.74,646.96,739.69,14.77,97.35,3676.97,37.77,4.23,97.35,-7.38,1.42,10.82,25.47,-230.34,1
0.0,0.0,,,0.49,0.49,3747.97,3706.79,6345.39,,2.04,-1.96,-0.96,0.0,203.92,0.0,,32.73,0.0,0.0,0.0,0.0,,,0.49,0.49,,,,,2.05,-1.95,-0.95,0.0,204.8,0.0,,33.01,,,1
-67.63,15.76,-71.26,0.0,0.07,0.07,383.53,127.24,1914.15,,5.06,-1.18,-0.23,49.72,529.0,-12.99,-6.68,0.0,123.64,217.48,-57.63,11.37,-67.79,0.0,0.08,0.08,428.2,197.89,2534.98,0.0,6.07,-1.2,-0.2,68.21,606.83,-9.15,-9.71,7.23,148.04,269.29,1
-14.08,-40.96,-11.21,0.06,0.77,0.8,289.72,68.11,104.83,3.47,0.65,1.9,2.91,14.73,65.61,-17.4,0.77,6.8,22.94,126.06,-7.2,-36.84,-6.43,0.07,1.55,1.61,324.87,81.08,157.68,11.94,80.45,411.38,5.11,25.3,80.45,-5.49,7.1,10.78,20.58,99.7,1
8.11,65.17,2.39,0.14,1.12,1.17,107.38,87.34,89.48,4.58,0.87,6.98,8.03,37.47,87.55,9.55,43.1,0.0,8.66,133.08,-172.3,111.92,,0.02,0.43,0.44,319.11,287.02,705.85,6.56,253.95,-164.96,-0.65,-98.58,253.95,-67.73,-259.06,0.0,47.28,-58.34,1
0.0,0.0,,0.0,0.74,0.74,,,,,1.77,-2.29,-1.3,0.0,177.19,0.0,-3.41,0.0,,,-10.98,16.95,,0.0,0.51,0.51,,,,,1.65,-2.54,-1.54,-10.98,164.65,-6.67,-4.1,0.0,,,1
-0.14,-7.9,-0.16,0.3,1.05,1.05,439.53,292.72,261.13,0.04,0.98,57.06,58.08,3.92,98.28,0.55,4.05,33.68,4.89,51.5,-11.38,126.79,-13.88,0.03,0.86,0.86,443.88,317.02,345.58,0.06,1.09,-12.14,-11.14,-5.11,108.98,-9.74,0.32,17.28,5.43,-98.53,1
0.03,0.06,0.08,0.01,0.53,1.25,924.42,107.28,249.54,223.25,0.5,1.01,2.01,9.66,50.31,6.79,1.14,11.1,24.46,48.24,-10.33,-16.55,-29.8,0.02,0.58,1.2,1049.91,172.07,258.06,198.19,0.38,0.6,1.6,0.52,37.59,-15.75,1.08,9.04,22.55,296.18,1
10.74,104.41,11.5,0.39,1.85,1.93,389.58,235.93,145.64,15.76,0.9,8.72,9.72,15.67,89.71,13.89,1.21,11.68,5.27,25.59,-2.65,-1174.81,-2.01,0.07,1.01,1.02,276.07,227.7,208.52,1.89,1.0,442.31,443.31,9.68,99.77,-0.65,1.27,20.48,6.43,64.14,1
-133.03,178.65,-26.51,0.2,0.61,0.61,72.55,38.77,96.19,0.42,1.74,-2.34,-1.34,-93.96,174.47,-67.16,-2.01,40.34,7.79,-53.28,7.67,-7433.45,4.69,0.18,0.99,1.0,222.73,179.06,220.61,1.37,100.1,-97011.87,-969.12,24.53,100.1,7.66,,0.0,10.31,31.29,1
