ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-4.96,-68.54,-8.12,0.0,0.25,0.4,597.66,50.82,158.06,29.21,0.64,8.81,13.82,0.53,92.77,1.16,0.36,17.92,8.98,477.56,1
-14.98,-34.68,-11.7,0.02,0.09,0.16,284.88,10.32,97.7,11.13,0.54,1.24,2.31,40.22,56.79,-5.45,0.48,17.21,43.08,94.51,1
15.89,94.83,36.67,0.0,0.74,0.74,842.41,485.78,655.57,1.51,0.83,4.97,5.97,21.58,83.24,31.51,0.41,0.0,13.14,16.06,1
-46.65,44.05,-16.09,0.15,0.38,0.4,125.89,58.53,248.63,4.2,2.06,-1.94,-0.94,89.56,205.89,-21.19,-5.23,2.69,46.98,133.36,1
-57.16,10.81,-24.54,0.12,0.16,0.16,156.71,37.15,964.63,0.0,6.29,-1.19,-0.19,8.52,628.96,-8.58,-166.84,0.0,28.2,248.66,1
-37.42,100.33,-52.41,0.01,0.24,0.64,511.23,158.3,598.55,270.11,1.37,-3.68,-2.68,-10.01,137.3,-24.89,-2.54,16.24,38.39,-204.84,1
-47.27,164.96,-136.44,0.03,0.46,0.47,1053.6,212.94,487.28,1.88,1.29,-4.49,-3.49,-27.72,128.65,-29.81,0.68,80.03,56.43,218.54,1
-30.3,-76.88,-40.62,0.0,0.15,1.31,489.4,31.02,145.4,319.62,0.61,1.54,2.54,11.94,60.59,-34.32,1.67,27.69,56.63,197.22,1
-20.77,116.13,-55.45,0.02,0.02,0.57,974.57,6.97,703.22,544.18,1.18,-6.59,-5.59,-17.18,117.88,-12.82,-0.43,28.63,9.57,-33.26,1
-0.03,0.03,-2.43,0.07,0.34,0.34,34729.51,17004.9,57771.38,,1.92,-2.09,-1.08,-0.03,192.23,-0.01,-2.48,18.24,0.0,0.0,1
9.85,18.91,9.83,0.29,1.18,1.35,364.22,139.63,156.33,26.67,0.44,0.85,1.92,62.8,47.9,31.24,1.34,0.0,52.83,73.98,1
-120.61,72.08,-12.26,0.03,0.22,0.32,37.11,14.88,80.11,8.33,2.54,-1.52,-0.6,164.7,267.34,-35.87,-5.75,0.0,29.0,162.53,1
-27.56,193.9,-65.37,0.0,0.11,0.34,865.91,58.02,496.65,135.79,1.14,-8.02,-7.04,-12.8,114.21,-20.1,0.44,54.19,35.0,189.6,1
1.95,7.61,3.48,0.03,0.57,0.96,651.94,216.36,257.53,159.05,0.71,2.78,3.9,12.64,74.36,15.57,0.96,22.62,19.09,152.59,1
-107.58,113.49,-68.18,0.04,0.21,0.28,231.31,75.2,437.83,28.7,1.95,-2.05,-1.05,-73.83,194.79,-52.61,-14.11,0.0,21.39,-54.23,1
-115.17,124.19,-87.54,-0.41,0.02,0.21,277.44,128.27,299.24,56.63,1.9,-2.05,-1.08,-78.39,192.74,-56.21,-0.27,10.24,27.96,-65.16,1
-0.53,2.64,-0.09,0.01,0.73,0.79,59.26,48.27,67.23,4.31,1.2,-5.99,-4.99,384.93,120.04,2.35,-3.51,0.0,62.58,104.17,1
-245.41,37.51,-78.65,0.0,0.02,0.08,116.98,13.64,664.67,39.81,7.54,-1.15,-0.15,-200.63,754.17,-9.68,-9.66,24.35,14.35,-62.82,1
4.42,93.1,12.42,0.18,0.35,0.83,1026.43,62.93,376.11,189.85,0.95,20.08,21.08,9.38,95.26,58.56,0.9,0.84,13.97,39.95,1
-1.27,106.28,-2.42,0.01,0.31,0.6,696.44,63.88,579.29,164.61,1.01,-84.49,-83.72,-0.58,101.19,4.78,0.27,0.0,1.32,9.1,1
-44.44,31.86,-12.84,0.04,0.31,0.62,105.44,36.02,144.96,46.01,2.39,-1.71,-0.72,65.26,239.48,-15.98,-3.54,0.0,31.69,97.64,1
-13.37,-148.57,-9.04,0.09,0.71,0.89,246.77,93.11,92.54,32.63,0.9,10.05,11.11,10.66,91.0,-13.27,0.78,47.56,16.25,184.91,1
-3.72,-13.79,-9.15,-0.41,-0.08,0.93,897.32,104.53,362.09,370.71,0.73,2.7,3.7,7.84,73.0,4.08,0.88,20.77,28.43,44.54,1
-175.93,-241.52,,,0.04,0.04,,,,,0.27,0.37,1.37,-175.93,27.16,-628.24,0.75,0.0,,0.0,1
3.67,11.14,3.13,1.39,2.45,2.45,311.09,106.84,101.28,0.0,0.67,2.04,3.04,89.43,67.08,16.07,3.49,13.1,73.1,83.22,1
-22.86,99.76,-24.74,0.11,0.21,0.46,394.93,13.58,331.6,86.45,1.23,-5.36,-4.36,-10.81,122.92,-10.61,0.24,0.0,13.05,-49.76,1
-142.4,30.86,-18.25,0.01,0.09,0.09,46.79,20.14,185.13,0.46,5.61,-1.22,-0.22,-75.48,561.42,-20.1,-9.31,155.89,8.58,-94.33,1
0.76,4.41,0.23,0.01,0.25,1.0,108.66,19.89,62.11,61.78,0.83,4.78,5.78,22.65,82.7,5.37,1.01,18.03,6.52,78.18,1
-7.54,-33.55,-5.39,0.02,0.43,0.96,260.65,57.37,135.37,76.01,0.78,3.45,4.45,11.39,77.52,-3.42,0.94,16.79,13.52,94.76,1
-1136.17,323.46,-2311.62,0.02,0.06,0.06,742.62,128.44,3300.08,,4.51,-1.28,-0.28,-1106.72,451.26,-241.82,-4.68,0.0,59.91,-39.84,1
