ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-5.37,-52.21,-6.32,0.01,0.17,0.75,427.95,45.75,248.26,171.6,0.9,8.72,9.72,-0.12,89.71,-5.03,0.65,29.22,6.17,186.93,0.39,3.99,0.4,0.0,0.26,0.75,372.85,69.78,248.79,137.73,0.9,9.25,10.25,5.22,90.24,3.95,0.59,21.28,4.93,46.38,1
-8.56,0.66,,0.0,0.03,0.06,,,,,13.9,-1.08,-0.08,-8.31,1390.33,-0.14,-65.54,0.0,,-27.79,13.04,-0.97,2622.75,0.0,0.03,0.06,73414.45,34131.02,1046331.92,28023.31,14.45,-1.07,-0.07,13.04,1445.03,1.26,-86.65,0.0,0.0,0.0,1
-1.1,32.87,,-0.01,0.01,0.01,,,,,1.03,-30.96,-29.96,-1.1,103.34,-1.06,0.49,0.0,,0.0,4.86,291.21,110.28,0.36,0.55,0.55,8285.07,124.65,677.19,0.0,0.98,58.94,59.94,4.86,98.33,4.94,0.96,0.0,0.0,0.0,1
0.05,36.55,0.03,0.02,0.34,0.74,256.55,71.95,230.02,94.5,0.99,789.35,795.03,18.57,99.87,2.52,0.17,0.07,13.06,86.69,-219.35,88.79,-52.76,0.02,0.02,0.12,87.8,1.69,218.64,22.37,3.47,-1.4,-0.4,-154.81,347.04,-59.23,-3.49,19.46,15.52,-93.37,1
2.22,46.85,1.15,0.07,0.35,1.1,189.38,45.9,158.33,123.05,0.95,20.12,21.14,25.28,95.27,5.88,2.91,7.21,12.0,76.03,-35.89,128.06,-18.89,0.02,0.1,0.79,192.16,17.77,216.79,156.65,1.28,-4.56,-3.57,-9.34,128.03,-23.76,-2.86,8.22,13.98,-384.03,1
1.06,12.84,0.78,0.07,0.88,0.89,269.37,193.53,209.52,1.56,0.92,11.15,12.15,11.54,91.77,4.33,0.48,12.15,7.76,59.92,-298.35,98.84,,0.0,0.07,0.07,,,,,4.02,-1.33,-0.33,-277.98,401.87,-72.22,-4.24,55.24,,-9.23,1
-110.95,45.36,-16.15,0.1,0.17,0.28,52.97,11.42,168.16,19.91,3.44,-1.4,-0.41,-6.38,344.62,-22.39,-12.04,0.0,15.22,278.63,-66.29,14.88,-17.54,0.09,0.09,0.18,96.58,0.69,510.79,47.48,5.45,-1.22,-0.22,21.09,545.66,-6.93,,0.0,23.12,760.16,1
4.18,49.47,3.59,0.01,0.89,0.89,312.61,194.45,218.24,0.04,0.92,10.83,11.83,10.38,91.54,11.99,0.98,9.61,5.32,82.29,5.6,-27.12,3.61,0.11,0.72,0.83,235.76,160.69,260.92,30.8,1.21,-5.85,-4.85,15.89,120.63,20.73,-4.44,1.61,6.65,93.33,1
0.0,0.0,,0.0,0.42,0.42,,,,,2.93,-1.52,-0.52,0.0,292.6,0.0,242.82,135.33,,,,0.0,,,0.0,,,,,,,-1.0,0.0,,,0.0,,,,,1
-0.06,-0.74,-0.02,0.05,0.19,1.0,111.64,12.64,93.52,77.0,0.91,10.62,11.62,26.13,91.39,6.36,0.93,0.0,8.03,76.2,-19.17,208.64,-6.29,0.09,0.22,0.85,119.87,15.38,123.85,79.02,1.09,-11.89,-10.89,9.3,109.19,-11.32,-0.62,0.0,9.35,159.72,1
-140.99,492.62,-12.77,0.05,0.68,0.75,32.97,23.37,36.65,2.49,1.28,-4.48,-3.49,61.9,128.62,-102.21,-1.85,0.0,18.38,392.1,-972.37,67.04,3953.48,0.0,0.07,0.07,-1484.03,-1444.18,-19790.59,,15.51,-1.07,-0.07,-967.21,1550.51,-62.71,,0.0,-20.96,-1.63,1
-9.87,194.5,-7.07,0.0,0.38,0.63,260.96,88.8,173.21,62.61,1.05,-20.71,-19.72,14.94,105.07,-3.39,0.0,32.5,17.78,105.98,-135.65,84.56,-167.44,0.01,0.17,0.24,450.54,183.17,1143.65,80.33,2.6,-1.62,-0.62,-120.02,260.42,-49.76,-4.58,0.0,19.3,-18.31,1
