ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
1.54,14.39,3.76,0.01,0.12,0.77,889.59,85.37,549.15,489.82,0.89,8.36,9.36,5.37,89.32,1.77,0.43,22.43,9.37,46.81,-66.77,130.65,-213.98,0.02,0.1,0.58,1169.73,128.61,1421.52,858.94,1.51,-2.96,-1.96,-58.72,151.11,-44.19,-4.17,27.71,25.8,-27.84,-32.92,28.64,-4714.75,0.0,-0.04,0.43,52132.39,-4696.59,110676.7,52879.65,2.15,-1.87,-0.87,-32.92,214.96,-15.31,-13.66,0.0,0.0,0.0,1
4.03,18.29,6.34,0.03,0.82,0.88,572.59,255.03,306.97,22.64,0.78,3.54,4.54,10.56,77.98,7.54,0.79,20.48,10.27,58.25,-3.73,-23.49,-12.49,0.01,0.49,0.57,1222.2,357.62,729.61,76.05,0.84,5.3,6.3,-0.82,84.12,-0.34,0.49,19.48,9.73,82.52,-1.88,-11.54,-5.61,0.1,0.57,0.74,1083.1,417.45,761.82,156.81,0.84,5.12,6.12,-0.69,83.66,0.17,0.48,12.14,3.56,44.54,1
-3.53,0.14,,0.0,0.04,0.04,,,,,25.76,-1.04,-0.04,-3.53,2576.33,-0.14,,54.32,,0.0,0.0,0.0,,0.0,0.04,0.04,,,,,25.76,-1.04,-0.04,0.0,2576.33,0.0,,54.32,,,0.0,0.0,,0.0,0.04,0.04,,,,,25.76,-1.04,-0.04,0.0,2576.33,0.0,,54.32,,,1
-10.2,-897.9,-11.86,0.02,0.87,1.08,423.11,111.63,313.73,72.98,0.99,86.97,87.99,5.32,98.86,-9.05,0.08,4.49,18.05,-1690.51,-71.29,102.61,-108.31,0.01,0.5,0.63,554.56,338.11,643.71,89.97,1.69,-2.44,-1.44,-57.7,169.48,-41.23,-3.33,8.13,20.64,-202.81,-513.49,52.75,-325.88,0.0,-0.03,-0.02,231.01,-51.27,1655.59,16.3,10.73,-1.1,-0.1,-498.72,1073.38,-47.47,-8.4,49.99,9.37,-21.92,1
-0.32,-1.56,-0.22,0.09,0.47,0.96,243.33,71.85,146.55,93.37,0.79,3.8,4.8,40.84,79.18,-0.41,0.86,17.96,27.52,112.74,0.01,0.08,0.01,0.1,0.46,0.95,293.98,85.35,192.06,116.69,0.82,4.59,5.59,37.25,82.1,0.02,0.86,15.59,29.99,125.92,-85.13,182.31,-44.12,0.0,0.05,0.42,188.66,12.47,216.79,101.0,1.47,-3.14,-2.14,-8.65,146.69,-52.6,-1.23,25.58,39.64,-869.27,1
-5.33,-41.79,-3.46,0.02,0.37,0.83,236.03,5.63,121.49,58.05,0.87,6.84,7.84,13.29,87.24,2.82,0.84,1.88,12.08,71.37,-33.49,168.37,-19.82,0.03,0.32,0.78,215.97,7.12,128.67,62.39,1.2,-6.03,-5.03,-13.22,119.89,-21.56,0.74,1.99,11.99,1833.55,-5.21,-43.06,-2.93,0.06,1.48,3.68,204.82,6.08,23.61,61.78,0.88,7.27,8.27,12.83,87.91,2.19,1.76,2.04,10.15,75.42,1
-16.85,14.54,-12.76,0.01,0.16,0.18,275.6,87.88,565.38,8.77,2.16,-1.86,-0.86,-5.53,215.85,6.92,-1.88,7.75,8.57,67.43,-3.41,2.78,-1.5,0.01,0.13,0.13,160.8,44.32,342.15,1.02,2.23,-1.82,-0.82,9.06,222.63,9.54,-1.76,6.34,5.49,38.34,-42.65,22.78,-60.55,0.0,0.19,0.19,516.85,280.26,1432.45,1.74,2.87,-1.53,-0.53,-29.29,287.23,-1.34,-4.24,6.0,18.96,103.77,1
0.27,3.8,0.4,0.0,0.0,1.01,541.61,0.02,253.93,329.74,0.93,13.13,14.13,9.72,92.92,1.37,0.18,12.54,14.06,49.92,0.41,5.74,0.75,-0.27,-0.21,2.48,667.48,10.25,168.01,459.23,0.93,12.95,13.92,8.33,92.81,1.72,0.68,0.0,14.49,54.43,-1617.08,109.49,306.02,-0.3,-0.34,-0.03,-68.88,10.36,-270.15,-82.39,15.77,-1.07,-0.07,-1496.26,1576.86,-101.08,-7.85,0.0,-22.86,-10.72,1
0.0,0.0,,0.0,2.31,2.31,,,,,0.44,0.78,1.78,0.0,43.84,0.0,,0.0,,,0.0,0.0,,0.0,2.31,2.31,,,,,0.44,0.78,1.78,0.0,43.84,0.0,,0.0,,,-0.29,-0.53,,0.0,2.31,2.31,,,,,0.44,0.79,1.79,-0.29,44.13,-0.67,,0.0,,,1
-20.06,19.6,,0.02,0.22,0.22,,,,,0.09,-0.09,-0.98,-20.06,202.37,-230.31,-1.04,0.0,,0.0,3.62,-3.65,,0.01,0.19,0.19,,,,,0.09,-0.09,-1.01,3.62,199.01,41.99,-1.01,0.0,,,163.8,244.77,,0.01,0.05,0.05,,,,,0.33,0.49,1.49,163.8,33.08,495.13,0.68,0.0,,,1
-3.84,18.03,,-0.02,0.51,0.51,,,,,1.21,-5.69,-4.69,-1.38,121.31,-3.17,-0.55,0.0,,-218.67,-2.69,1.92,-7270.0,0.0,0.28,0.28,986566.61,650528.0,2275944.0,,2.4,-1.71,-0.71,-2.69,240.42,-1.12,-5.94,6.12,0.0,0.0,-11.66,7.32,,0.0,0.19,0.19,,,,,2.59,-1.63,-0.63,-11.66,259.18,-4.5,-3.93,12.56,,0.0,1
