ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-32.92,28.64,-4714.75,0.0,-0.04,0.43,52132.39,-4696.59,110676.7,52879.65,2.15,-1.87,-0.87,-32.92,214.96,-15.31,-13.66,0.0,0.0,0.0,1
-1.88,-11.54,-5.61,0.1,0.57,0.74,1083.1,417.45,761.82,156.81,0.84,5.12,6.12,-0.69,83.66,0.17,0.48,12.14,3.56,44.54,1
0.0,0.0,,0.0,0.04,0.04,,,,,25.76,-1.04,-0.04,0.0,2576.33,0.0,,54.32,,,1
-513.49,52.75,-325.88,0.0,-0.03,-0.02,231.01,-51.27,1655.59,16.3,10.73,-1.1,-0.1,-498.72,1073.38,-47.47,-8.4,49.99,9.37,-21.92,1
-85.13,182.31,-44.12,0.0,0.05,0.42,188.66,12.47,216.79,101.0,1.47,-3.14,-2.14,-8.65,146.69,-52.6,-1.23,25.58,39.64,-869.27,1
-5.21,-43.06,-2.93,0.06,1.48,3.68,204.82,6.08,23.61,61.78,0.88,7.27,8.27,12.83,87.91,2.19,1.76,2.04,10.15,75.42,1
-42.65,22.78,-60.55,0.0,0.19,0.19,516.85,280.26,1432.45,1.74,2.87,-1.53,-0.53,-29.29,287.23,-1.34,-4.24,6.0,18.96,103.77,1
-1617.08,109.49,306.02,-0.3,-0.34,-0.03,-68.88,10.36,-270.15,-82.39,15.77,-1.07,-0.07,-1496.26,1576.86,-101.08,-7.85,0.0,-22.86,-10.72,1
-0.29,-0.53,,0.0,2.31,2.31,,,,,0.44,0.79,1.79,-0.29,44.13,-0.67,,0.0,,,1
163.8,244.77,,0.01,0.05,0.05,,,,,0.33,0.49,1.49,163.8,33.08,495.13,0.68,0.0,,,1
-11.66,7.32,,0.0,0.19,0.19,,,,,2.59,-1.63,-0.63,-11.66,259.18,-4.5,-3.93,12.56,,0.0,1
