ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
2.24,-969.03,9.61,0.1,0.11,0.12,1561.15,9.14,898.99,18.96,0.8,-345.62,-432.45,7.58,100.23,8.59,0.15,7.06,22.89,47.31,0
19.7,22.84,12.07,3.98,5.17,7.26,223.15,36.29,30.4,64.33,0.14,0.16,1.16,19.7,13.78,142.96,,0.0,0.0,0.0,0
26.36,76.39,66.08,0.62,1.63,1.63,912.46,559.71,555.21,,0.65,1.87,2.9,26.36,65.49,40.86,,0.0,0.0,0.0,0
0.46,1.34,0.96,0.64,0.76,2.74,751.33,19.55,184.6,369.8,0.58,1.67,2.89,22.52,65.36,17.77,2.08,0.0,45.53,548.83,0
2.04,20.95,3.85,0.05,0.16,0.16,687.53,67.29,609.57,,0.9,9.28,10.28,11.3,90.28,23.1,0.12,0.0,17.49,-16.45,0
2.28,41.98,1.6,0.37,0.85,0.97,255.8,116.26,239.08,28.19,0.95,17.39,18.4,2.28,94.57,4.96,0.64,0.0,0.0,0.0,0
2.6,4.23,3.55,0.37,0.6,2.25,497.63,16.31,68.74,114.7,0.37,0.6,1.63,11.01,38.62,43.5,1.22,12.53,11.5,55.21,0
8.34,9.86,9.68,2.51,3.42,5.48,422.46,58.71,64.4,135.01,0.15,0.18,1.18,23.93,15.41,73.92,5.47,0.0,18.08,178.1,0
8.94,22.28,2.76,0.39,1.04,1.05,112.61,43.16,66.59,0.81,0.6,1.49,2.49,13.4,59.9,17.37,1.09,0.0,1.38,24.83,0
0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
3.76,5.37,20.7,0.16,0.61,0.61,2005.88,188.06,234.71,0.0,0.3,0.43,1.43,3.76,30.07,12.49,0.8,9.29,0.0,0.0,0
2.06,4.26,1.79,0.04,1.28,1.5,315.09,194.44,156.28,34.25,0.52,1.06,2.06,26.16,51.53,10.5,1.96,0.0,20.86,286.17,0
10.74,42.9,13.93,1.08,1.26,1.26,471.93,63.03,349.86,,0.75,2.99,3.99,11.58,74.96,15.92,4.83,0.0,1.09,5.26,0
0.78,3.24,29.0,0.97,1.18,1.32,13488.8,2071.03,10101.09,1479.81,0.76,3.14,4.14,26.88,75.82,1.03,,0.0,967.0,-23.91,0
0.36,0.75,2.93,0.33,1.03,1.56,2990.6,960.03,1374.0,728.53,0.51,1.07,2.11,0.36,52.7,4.04,1.72,0.0,0.0,0.0,0
0.36,0.75,2.93,0.33,1.03,1.56,2990.6,960.03,1374.0,728.53,0.51,1.07,2.11,0.36,52.7,4.04,1.72,0.0,0.0,0.0,0
1.16,4.15,5.33,0.0,0.6,0.84,1672.3,530.41,435.45,221.4,0.46,1.64,3.58,10.1,72.07,13.7,0.59,28.26,41.07,-77.78,0
0.68,1.93,1.74,0.13,0.72,1.54,931.11,352.27,597.06,497.14,0.65,1.84,2.84,0.68,64.84,1.05,,0.0,0.0,0.0,0
7.94,9.66,12.3,2.15,3.27,5.45,563.77,57.27,51.11,113.17,0.12,0.15,1.22,23.37,17.78,191.37,1.69,0.0,23.89,66.36,0
-3.9,-5087.42,-30.65,0.01,0.07,0.13,2861.26,141.51,2306.32,166.77,0.94,1232.16,1304.79,1.27,99.92,6.04,0.07,11.92,40.64,-200.11,0
0.61,2.4,0.64,0.22,1.08,1.46,379.6,94.3,53.52,42.13,0.75,2.94,3.94,13.49,74.62,8.13,1.01,14.76,13.43,165.84,0
1.15,1.31,2.15,1.83,3.22,7.17,680.33,-3.91,58.34,233.69,0.12,0.13,1.14,24.9,12.48,79.58,2.36,0.0,44.39,110.58,0
-3.47,-8.24,-9.68,0.01,0.74,0.93,1016.77,371.02,397.94,99.85,0.57,1.35,2.38,10.16,57.94,4.68,1.52,11.09,38.06,-338.67,0
2.68,3.91,3.02,0.37,0.7,2.05,410.84,29.57,89.65,122.93,0.24,0.35,1.46,26.51,31.51,55.16,1.28,0.0,26.9,98.79,0
11.76,33.25,31.52,0.23,0.42,0.58,975.18,116.31,620.97,102.42,0.65,1.83,2.83,19.09,64.62,25.73,0.57,0.0,19.64,72.71,0
10.93,21.25,11.39,0.58,0.69,2.08,379.57,13.63,118.03,166.06,0.32,0.62,1.95,14.81,48.59,48.39,1.52,0.0,4.05,-286.65,0
2.55,12.92,3.84,0.0,1.31,2.73,547.52,93.06,39.7,108.99,0.78,3.96,5.06,9.7,80.25,14.35,1.4,67.44,10.75,34.41,0
0.06,0.3,0.17,0.05,0.11,0.11,1106.43,50.8,860.22,,0.81,4.28,5.31,0.06,81.18,3.27,0.21,0.0,0.0,0.0,0
0.63,0.78,0.73,0.12,0.77,2.25,425.73,36.73,56.15,83.9,0.19,0.24,1.24,19.31,19.41,73.73,1.22,0.0,21.85,114.21,0
1.85,2.13,5.56,6.44,7.29,8.72,1092.34,71.98,84.96,123.53,0.13,0.15,1.15,13.98,12.96,62.4,2.92,0.0,36.41,109.7,0
2.0,13.64,1.82,0.03,0.42,0.72,330.36,90.18,226.11,67.76,0.72,4.91,6.81,32.06,85.31,19.35,0.32,0.0,27.28,76.29,0
0.09,0.18,0.77,0.18,0.44,0.71,3231.72,264.42,948.35,295.47,0.4,0.8,2.01,7.66,50.34,26.83,0.72,5.07,67.21,-792.94,0
-3.16,-6.17,-1.31,0.51,2.05,2.05,150.89,111.91,72.85,,0.49,0.95,1.95,-3.16,48.81,-6.47,,0.0,0.0,0.0,0
-6.65,-997.64,-10.71,0.18,0.23,0.3,586.13,27.7,470.24,32.49,0.99,149.01,150.01,-2.17,99.33,25.72,0.16,6.68,7.22,21.66,0
0.6,7.75,,1.49,1.83,1.83,,,,,0.92,11.88,12.88,0.6,92.23,4.63,2.21,0.0,,0.0,0
-8.37,-13.5,-19.84,0.16,0.29,2.11,863.17,31.47,246.09,454.48,0.37,0.6,1.61,14.16,38.05,-8.89,1.79,0.0,53.41,331.0,0
1.4,1.64,2.48,3.08,4.27,9.7,642.22,32.91,27.7,152.53,0.11,0.13,1.17,20.94,14.4,90.38,1.59,0.0,34.47,101.95,0
1.2,6.17,4.5,0.01,0.13,0.22,1360.7,89.92,728.63,64.35,0.81,4.13,5.13,2.91,80.51,10.64,0.36,0.0,6.37,-7.11,0
-2.62,-2.95,-46.75,0.1,4.68,12.22,6494.98,444.88,56.69,743.32,0.09,0.1,1.12,5.56,11.09,36.26,1.18,0.63,145.93,-82.89,0
13.17,14.6,24.97,15.85,15.85,15.85,690.27,,43.08,,0.07,0.07,1.11,23.86,9.81,195.22,,0.0,20.28,37.91,0
-5.39,-9.99,-100.77,0.24,0.79,1.17,6810.32,1649.93,3007.38,1167.57,0.46,0.85,1.85,5.86,46.07,21.11,1.15,0.0,210.33,-91.86,0
10.35,15.24,20.96,0.63,1.82,2.43,737.0,73.14,36.77,38.14,0.31,0.46,1.47,21.16,32.08,42.76,1.13,19.78,21.88,54.26,0
-4.04,-14.28,-19.62,0.88,1.08,1.08,1768.84,256.73,1254.64,,0.72,2.54,3.54,-4.04,71.72,2.18,1.27,0.0,0.0,0.0,0
35.09,64.89,10.8,0.17,1.0,1.1,112.05,40.69,49.25,5.23,0.46,0.85,1.85,52.02,45.92,108.04,1.11,0.0,5.21,20.95,0
-102.94,-457.55,-65.91,0.04,0.04,0.04,233.08,0.08,176.21,,0.78,3.44,4.44,90.84,77.5,-84.89,0.25,0.0,124.08,145.07,0
22.16,22.17,46.36,2021.75,2021.75,2021.75,761.62,,,,0.0,0.0,1.0,22.16,0.05,44800.0,,0.05,0.0,0.0,0
0.87,1.58,18.96,0.03,1.62,1.87,7922.05,1745.31,3513.56,906.34,0.45,0.81,1.81,2.28,44.84,21.38,3.43,0.0,30.6,-3.14,0
,,,,,,,,,,,,,,,,,,,,0
