ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
2.24,-969.03,9.61,0.1,0.11,0.12,1561.15,9.14,898.99,18.96,0.8,-345.62,-432.45,7.58,100.23,8.59,0.15,7.06,22.89,47.31,0.0,-1.5,-0.01,0.08,0.09,0.09,1331.44,20.28,1234.39,2.89,99.79,47454.6,475.55,5.65,99.79,5.14,0.0,5.43,20.66,52.3,0
19.7,22.84,12.07,3.98,5.17,7.26,223.15,36.29,30.4,64.33,0.14,0.16,1.16,19.7,13.78,142.96,,0.0,0.0,0.0,7.52,8.18,4.95,11.73,11.73,12.31,239.62,,19.26,11.11,0.08,0.09,1.09,7.52,8.13,92.5,,0.0,0.0,0.0,0
26.36,76.39,66.08,0.62,1.63,1.63,912.46,559.71,555.21,,0.65,1.87,2.9,26.36,65.49,40.86,,0.0,0.0,0.0,-38.7,-5479.03,,0.42,1.04,1.04,,,,,0.99,140.58,141.58,-38.7,99.29,-38.97,,0.0,,0.0,0
0.46,1.34,0.96,0.64,0.76,2.74,751.33,19.55,184.6,369.8,0.58,1.67,2.89,22.52,65.36,17.77,2.08,0.0,45.53,548.83,0.09,0.25,0.18,0.54,0.71,2.33,754.95,38.16,236.18,380.8,0.57,1.6,2.81,22.55,56.81,14.68,2.26,0.0,33.29,390.8,0
2.04,20.95,3.85,0.05,0.16,0.16,687.53,67.29,609.57,,0.9,9.28,10.28,11.3,90.28,23.1,0.12,0.0,17.49,-16.45,3.39,41.44,17.07,0.07,0.11,0.11,1832.4,65.08,1650.0,,0.92,11.22,12.22,7.74,91.82,26.61,0.09,0.0,21.91,-39.8,0
2.28,41.98,1.6,0.37,0.85,0.97,255.8,116.26,239.08,28.19,0.95,17.39,18.4,2.28,94.57,4.96,0.64,0.0,0.0,0.0,2.7,37.62,1.72,0.02,0.77,1.09,231.63,149.81,200.46,63.48,0.93,12.94,13.94,2.7,92.83,5.09,1.44,0.0,0.0,0.0,0
2.6,4.23,3.55,0.37,0.6,2.25,497.63,16.31,68.74,114.7,0.37,0.6,1.63,11.01,38.62,43.5,1.22,12.53,11.5,55.21,4.87,8.29,6.2,0.19,0.52,2.23,463.36,21.21,64.15,109.95,0.4,0.68,1.7,14.06,39.89,43.7,1.22,20.24,7.96,32.84,0
8.34,9.86,9.68,2.51,3.42,5.48,422.46,58.71,64.4,135.01,0.15,0.18,1.18,23.93,15.41,73.92,5.47,0.0,18.08,178.1,6.34,6.34,7.44,1170.69,1707.8,2289.31,427.27,69.8,0.13,75.57,0.0,0.0,1.0,10.21,0.03,25131.43,3.38,0.0,3.6,-20.03,0
8.94,22.28,2.76,0.39,1.04,1.05,112.61,43.16,66.59,0.81,0.6,1.49,2.49,13.4,59.9,17.37,1.09,0.0,1.38,24.83,7.56,18.49,3.32,0.21,0.73,0.78,159.8,47.75,91.52,4.39,0.59,1.44,2.44,10.58,59.09,16.87,0.75,0.01,1.09,16.69,0
0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,26.27,26.27,,,,,420.96,2.49,,,,,1.0,26.27,0.0,,,0.0,0.0,0.0,0
3.76,5.37,20.7,0.16,0.61,0.61,2005.88,188.06,234.71,0.0,0.3,0.43,1.43,3.76,30.07,12.49,0.8,9.29,0.0,0.0,3.5,5.91,9.58,0.11,0.21,0.21,995.61,30.97,343.29,,0.41,0.69,1.69,3.5,40.72,8.6,0.64,-1.28,0.0,0.0,0
-11.76,-44.51,-14.0,0.49,0.5,0.67,389.23,2.52,288.12,48.27,0.74,2.79,3.79,56.02,73.58,-2.5,0.48,0.0,80.68,228.97,2.52,30.59,5.46,0.03,0.04,0.12,787.38,9.86,699.76,53.74,0.92,11.13,12.13,20.46,91.75,15.69,0.11,0.0,28.01,50.62,0
2.06,4.26,1.79,0.04,1.28,1.5,315.09,194.44,156.28,34.25,0.52,1.06,2.06,26.16,51.53,10.5,1.96,0.0,20.86,286.17,4.24,6.15,3.43,0.16,1.76,2.32,294.36,138.51,86.15,47.81,31.03,44.99,1.45,33.27,31.03,26.13,2.2,0.0,16.15,214.72,0
10.74,42.9,13.93,1.08,1.26,1.26,471.93,63.03,349.86,,0.75,2.99,3.99,11.58,74.96,15.92,4.83,0.0,1.09,5.26,10.0,17.3,19.41,2.07,2.21,2.21,706.36,40.94,294.55,,0.42,0.73,1.73,12.21,42.18,30.93,8.44,0.0,4.28,11.47,0
0.78,3.24,29.0,0.97,1.18,1.32,13488.8,2071.03,10101.09,1479.81,0.76,3.14,4.14,26.88,75.82,1.03,,0.0,967.0,-23.91,3.4,20.53,3.63,0.31,0.72,0.82,387.94,129.93,319.87,33.46,0.83,5.03,6.03,7.88,83.43,15.16,0.53,0.0,3.34,-2.99,0
0.36,0.75,2.93,0.33,1.03,1.56,2990.6,960.03,1374.0,728.53,0.51,1.07,2.11,0.36,52.7,4.04,1.72,0.0,0.0,0.0,-7.9,-13.46,-17.0,0.14,0.59,1.37,782.86,138.36,313.11,245.1,0.41,0.7,1.7,-7.9,41.3,-12.11,1.31,0.0,0.0,0.0,0
1.16,4.15,5.33,0.0,0.6,0.84,1672.3,530.41,435.45,221.4,0.46,1.64,3.58,10.1,72.07,13.7,0.59,28.26,41.07,-77.78,-0.25,-1.53,-2.07,0.02,0.58,0.68,3046.47,959.27,1291.04,178.94,59.35,367.79,6.2,5.38,59.35,3.74,0.31,16.3,33.79,-160.76,0
0.68,1.93,1.74,0.13,0.72,1.54,931.11,352.27,597.06,497.14,0.65,1.84,2.84,0.68,64.84,1.05,,0.0,0.0,0.0,3.38,41.22,6.58,0.06,0.66,1.09,707.42,386.01,642.22,276.61,0.92,11.18,12.18,3.38,91.79,3.69,,0.0,0.0,0.0,0
7.94,9.66,12.3,2.15,3.27,5.45,563.77,57.27,51.11,113.17,0.12,0.15,1.22,23.37,17.78,191.37,1.69,0.0,23.89,66.36,11.85,13.43,20.18,5.51,6.81,11.04,619.91,38.99,31.26,132.5,0.07,0.08,1.13,26.82,7.18,340.09,2.05,0.0,18.74,45.05,0
