ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.75,17.72,0.48,0.6,1.04,1.04,230.35,97.73,218.09,,0.96,22.58,23.58,3.5,95.76,0.78,,0.0,1.74,1.81,0.11,5.92,6.74,0.2,0.23,0.23,22888.04,637.0,22223.04,,0.98,54.22,55.22,1.21,98.19,0.11,0.02,0.0,69.44,88.75,0
-36.19,-56.01,,2.83,2.83,2.83,,,,,0.35,0.55,1.55,-9.05,35.38,-102.28,,0.0,,-355.15,4.45,59.38,1.74,0.06,1.13,1.13,141.96,132.17,123.75,,0.92,12.32,13.33,55.45,92.5,6.47,,0.0,19.89,88.45,0
5.58,5.82,11.67,15.92,21.37,21.38,761.43,155.04,11.05,0.29,0.04,0.04,1.04,12.43,4.08,346.91,5.08,2.32,14.33,29.73,0.07,0.07,0.23,37.91,46.47,46.95,1169.54,174.56,20.43,9.88,0.02,0.02,1.02,6.86,2.15,335.58,5.85,0.0,21.8,48.33,0
0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,-121.77,138.8,-682.75,0.06,0.09,0.09,2040.9,116.79,3789.34,0.0,1.88,-2.14,-1.14,-121.77,187.73,-49.0,-1.07,0.0,0.0,0.0,0
37.26,77.95,10.12,-0.24,0.11,0.14,98.84,17.0,48.47,1.24,0.5,1.04,2.09,67.55,52.21,98.51,0.51,0.0,8.23,38.85,-3.56,-17.48,-3.28,-0.05,0.08,0.08,335.4,33.39,258.08,2.1,0.78,3.82,4.91,16.22,79.64,-4.57,0.42,0.0,18.22,106.25,0
6.08,60.36,5.24,0.58,0.77,0.86,180.95,54.66,278.28,26.07,0.9,8.93,9.93,10.02,89.93,13.88,0.49,0.0,3.4,19.98,-14.89,118.86,-9.22,0.27,0.72,0.72,225.24,98.11,215.09,0.21,1.13,-8.98,-7.98,-9.13,112.53,-3.02,0.11,0.0,3.57,-114.99,0
-70.62,403.03,-40.62,0.01,0.3,0.65,117.33,69.07,242.77,86.73,1.17,-6.7,-5.71,-68.94,117.52,-60.18,-0.92,0.0,0.97,-2.5,-6.61,24.24,-2.99,0.0,0.0,0.65,164.38,0.02,196.0,128.82,1.27,-4.66,-3.66,34.4,127.29,-3.72,-1.31,0.0,18.52,58.44,0
-9.9,-25.89,-38.1,0.0,0.91,1.34,1400.5,769.28,849.08,371.89,0.62,1.61,2.61,0.28,61.75,-11.57,2.41,0.0,39.18,276.53,12.06,20.01,28.16,0.45,0.77,0.77,850.16,105.38,329.15,,0.4,0.66,1.66,20.33,39.76,37.0,0.88,0.0,19.33,94.01,0
18.8,26.19,7.88,0.22,18.06,19.39,152.56,113.27,6.8,9.23,0.28,0.39,1.39,59.55,28.21,87.29,5.84,0.0,17.08,50.29,14.38,17.94,7.37,0.14,13.16,13.43,186.64,147.86,12.03,3.31,0.2,0.25,1.25,51.3,19.82,94.49,7.52,0.0,18.93,73.12,0
-76.55,36.53,-1019.54,0.07,0.18,0.24,4848.14,1712.6,14752.09,803.42,3.1,-1.48,-0.48,-76.55,309.57,-5.09,-8.45,0.0,0.0,0.0,-67.89,12.45,-298.54,0.05,0.07,0.13,1600.66,271.62,10215.66,596.53,6.45,-1.18,-0.18,-67.89,645.31,-1.88,,0.0,0.0,0.0,0
8.33,13.96,2.69,1.2,1.32,2.06,117.78,5.28,23.13,33.91,0.4,0.68,1.68,15.64,40.33,25.68,3.44,19.09,2.36,32.9,11.85,18.92,4.51,2.42,3.05,3.78,138.65,18.65,29.7,21.92,0.37,0.6,1.6,14.41,37.36,36.0,4.3,15.7,0.97,11.13,0
-5.94,-11.34,-5.2,0.0,1.55,1.62,318.76,142.4,135.98,10.0,0.48,0.91,1.91,-4.32,47.67,-2.92,2.3,4.0,1.42,30.09,-0.87,-1.92,-0.82,0.01,1.13,1.51,343.8,167.06,155.25,70.3,0.54,1.2,2.2,0.73,54.48,1.17,2.53,8.42,1.51,46.35,0
-6.76,-10.04,-7.51,1.39,1.39,2.85,180.21,0.0,130.28,193.03,0.33,0.49,1.49,28.21,32.68,-20.67,,0.0,38.89,121.71,40.39,45.42,17.32,7.47,7.47,8.9,156.12,,16.27,23.74,0.11,0.12,1.12,151.21,11.09,364.25,,0.0,47.53,86.36,0
-145.33,-110.82,-15.2,0.84,1.09,1.09,38.07,72.07,279.43,,8.67,6.61,0.76,46.84,866.5,-7.73,1.39,13.23,20.1,176.64,-34.85,37.54,-3.54,0.05,0.4,0.4,36.98,21.77,62.72,,1.93,-2.08,-1.08,-25.32,192.84,-5.38,-2.29,0.0,0.97,22.95,0
0.89,13.26,0.64,0.22,0.77,1.0,262.24,131.8,239.01,55.7,0.93,13.94,14.94,12.98,93.31,5.73,0.93,0.0,8.71,78.53,-0.06,-0.91,-0.05,0.34,0.72,1.03,295.57,103.58,270.8,85.77,0.93,13.97,14.97,11.83,93.32,4.06,1.81,0.0,9.66,72.44,0
31.14,39.21,9.84,3.71,4.75,4.77,114.95,23.67,22.8,0.44,0.21,0.26,1.26,54.52,20.57,165.65,18.81,0.0,7.38,34.7,16.2,36.72,4.3,0.07,1.73,1.76,96.54,84.79,51.04,1.53,0.55,1.25,2.27,93.42,55.87,45.38,8.0,0.0,20.48,62.15,0
20.31,61.89,4.64,0.18,1.49,1.49,83.2,72.12,55.29,0.0,0.67,2.05,3.05,20.31,67.19,30.22,,0.0,0.0,0.0,8.02,33.48,1.59,0.27,1.22,1.22,72.35,51.5,54.42,0.0,0.76,3.18,4.18,8.02,76.05,13.84,3.19,0.0,0.0,0.0,0
11.41,13.46,23.88,2.83,4.13,4.95,761.94,105.43,81.36,67.59,0.12,0.15,1.18,28.21,15.22,113.74,1.86,0.0,35.16,64.88,6.47,8.07,13.03,1.57,2.13,2.77,733.66,73.16,130.83,85.91,0.2,0.25,1.25,21.95,19.86,47.4,1.64,0.0,31.22,87.08,0
-0.08,-0.08,,,,,,,,,,,1.0,-0.08,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
-223.16,153.6,,0.47,0.41,0.41,,,,,2.45,-1.69,-0.69,-223.16,245.28,-90.98,,0.0,,,110.45,117.37,49.92,3.89,16.97,16.97,164.51,125.42,9.59,0.0,0.06,0.06,1.06,210.09,5.89,1874.93,,0.0,45.03,45.03,0
5.75,38.12,1.93,0.19,0.83,0.83,121.92,64.41,99.81,,0.85,5.62,6.62,16.15,84.9,14.72,0.57,1.99,3.48,37.61,-10.14,-24854.22,-3.12,0.1,0.78,0.78,111.98,74.35,110.58,,1.0,2450.21,2451.21,-3.16,99.96,-5.6,0.01,0.0,2.15,234.41,0
1.38,9.81,1.39,0.69,2.24,3.64,367.22,105.54,67.76,96.03,0.86,6.1,7.11,22.74,85.94,4.72,0.44,0.0,21.55,78.82,0.62,4.1,0.49,0.54,2.56,4.35,288.15,91.35,45.18,82.02,0.85,5.65,6.65,23.35,84.97,3.07,0.49,0.0,17.99,87.04,0
8.12,166.38,6.82,0.11,0.79,0.79,305.48,186.79,245.18,0.0,0.95,19.38,20.48,48.35,95.12,16.97,0.21,10.45,33.76,68.49,4.67,71.72,4.43,0.07,0.76,0.8,345.64,202.46,293.05,10.65,0.93,14.37,15.37,16.72,93.49,19.79,0.42,0.58,11.44,36.2,0
27.58,51.21,10.54,-0.33,2.33,2.33,139.13,145.16,53.15,0.19,0.46,0.86,1.86,148.88,46.14,69.14,7.17,1.01,46.36,75.34,37.94,64.11,18.0,0.16,2.63,2.64,172.73,154.58,44.99,0.46,0.41,0.69,1.69,125.53,40.82,97.34,17.74,10.26,41.56,62.74,0
-27.15,-93.85,-10.46,1.06,1.58,1.58,140.22,35.45,63.39,0.0,0.71,2.46,3.46,54.85,71.07,-17.18,2.13,2.76,31.59,118.38,33.88,61.14,16.45,2.05,2.31,2.31,176.71,18.8,67.66,,0.45,0.8,1.8,97.72,44.59,100.91,10.25,2.06,30.99,48.95,0
