ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
0.12,8.94,8.32,0.98,1.01,1.01,24942.8,907.8,24261.04,,0.99,72.4,73.4,1.22,98.64,0.12,,0.0,75.24,79.48,0
3.53,42.06,0.98,0.12,0.97,0.97,101.12,73.44,86.21,,0.92,10.92,11.92,32.48,91.61,8.15,0.67,0.0,8.02,72.12,0
1.64,1.72,2.89,11.43,19.56,19.61,642.39,205.22,25.27,1.26,0.05,0.05,1.05,13.78,4.62,221.53,4.45,0.0,21.36,49.57,0
40.83,-89.71,,0.06,0.1,0.1,,,,,1.46,-3.2,-2.2,40.83,145.51,33.89,-0.54,0.0,,0.0,0
-28.64,866.12,-11.84,0.02,0.31,0.32,150.86,42.69,149.68,1.41,1.03,-31.24,-30.24,5.37,103.31,-13.33,-0.05,0.0,14.06,137.56,0
-17.46,-25.74,-8.87,2.92,3.48,3.5,185.35,12.85,22.87,0.37,0.32,0.47,1.47,0.86,32.16,34.98,1.61,0.0,9.3,53.46,0
-35.52,60.82,-33.53,,0.0,0.56,344.52,,506.75,288.56,1.58,-2.71,-1.71,-1.75,158.4,-21.43,-3.69,0.03,31.87,290.86,0
0.69,1.11,2.32,0.23,0.38,0.38,1233.71,67.45,452.73,,0.38,0.62,1.62,8.95,38.26,11.34,0.73,0.0,27.93,62.26,0
11.13,14.06,6.29,0.18,11.71,12.89,206.49,147.52,13.57,16.13,0.21,0.26,1.26,60.94,20.88,78.44,7.09,0.0,28.18,76.12,0
-106.14,28.43,-749.33,0.21,0.21,0.21,2576.9,0.0,12028.8,0.0,4.73,-1.27,-0.27,-106.14,473.28,-22.43,,0.0,0.0,0.0,0
10.54,16.28,5.11,2.43,3.18,3.49,177.0,32.29,42.98,13.71,0.35,0.54,1.54,13.25,35.27,29.88,5.37,10.65,1.31,15.18,0
-22.97,-97.66,-27.85,0.0,0.73,1.06,442.44,190.17,298.31,111.27,0.76,3.25,4.25,-21.5,76.48,-27.61,1.26,8.08,1.79,-7.54,0
1.82,5.16,1.62,0.39,0.39,0.55,325.8,0.0,206.8,34.4,0.65,1.84,2.84,63.85,64.8,2.8,0.58,0.0,55.37,113.18,0
206.2,-420.88,6.22,0.09,1.34,1.34,11.0,4.78,3.81,,1.49,-3.04,-2.04,233.23,148.99,160.5,-0.4,0.0,0.81,8.91,0
-1.78,-30.31,-1.05,0.09,0.62,1.04,215.89,105.78,197.68,84.09,0.94,16.04,17.04,10.35,94.13,0.83,2.43,0.0,7.17,87.92,0
-11.77,-71.05,-5.98,0.81,1.1,1.11,185.38,43.97,148.57,1.4,0.83,4.99,6.04,31.51,83.44,-10.68,1.87,0.0,21.98,112.67,0
4.56,34.37,2.78,0.14,1.01,1.01,222.94,127.38,147.29,,0.87,6.54,7.54,4.56,86.73,11.21,1.01,0.0,0.0,0.0,0
0.13,0.15,0.4,1.35,2.04,3.28,1156.39,110.01,159.96,201.62,0.16,0.19,1.19,15.49,15.97,20.38,1.6,0.0,48.68,167.36,0
-3.6,-3.64,-30.99,103.28,103.28,103.28,3141.48,,30.0,,0.01,0.01,1.01,-3.6,0.97,-371.83,,0.0,0.0,0.0,0
33.43,35.43,17.95,17.7,17.7,17.7,195.96,,10.92,,0.06,0.06,1.06,137.01,5.65,591.63,,0.0,55.61,73.5,0
0.08,70.18,0.02,0.29,0.82,0.82,86.17,44.91,84.49,,1.0,840.99,844.98,5.99,99.88,4.94,0.01,0.0,1.39,46.77,0
0.33,2.22,0.3,0.06,0.53,0.83,334.36,130.87,280.59,85.48,0.85,5.74,6.74,20.67,85.17,3.29,0.5,0.0,18.63,81.37,0
1.01,9.26,1.07,0.01,0.31,0.51,387.01,86.82,284.06,56.68,0.89,8.2,9.2,15.31,89.13,15.49,0.42,0.0,15.17,49.88,0
5.84,10.39,3.08,0.01,2.22,2.22,192.47,161.5,57.21,0.42,0.44,0.78,1.78,110.44,43.75,25.08,3.95,8.33,55.16,87.73,0
3.1,8.61,1.8,1.21,1.63,1.63,212.04,53.61,51.73,0.0,0.64,1.77,2.77,58.63,63.96,9.96,,36.65,32.26,86.58,0
,,,,,,,,,,,,,,,,,,,,0
1.05,6.75,0.75,0.41,1.11,1.18,263.09,131.94,178.24,13.78,0.84,5.44,6.44,18.29,84.48,4.42,1.85,13.67,12.43,65.43,0
2.65,17.06,2.21,0.12,1.04,1.04,304.06,211.55,230.47,,0.84,5.44,6.44,12.94,84.47,7.81,1.24,0.0,8.57,55.16,0
-3.94,1573.59,-3.8,0.25,0.75,0.76,352.56,173.77,348.56,1.43,1.0,-400.78,-399.78,-1.3,100.25,-3.93,-0.01,0.0,2.55,-184.31,0
2.51,8.96,0.87,0.05,0.81,0.91,126.3,53.75,43.01,6.57,0.62,2.22,3.58,55.89,72.03,16.61,0.69,22.07,18.47,75.02,0
1.63,7.98,1.92,0.77,0.93,0.99,429.19,53.17,330.59,17.93,0.8,3.89,4.89,11.33,79.55,8.28,0.92,0.0,11.41,54.03,0
0.04,0.18,0.06,0.02,0.46,1.35,579.62,110.3,270.23,277.88,0.78,3.59,4.59,10.6,78.23,6.18,1.62,7.58,16.77,65.1,0
13.2,25.35,5.33,1.72,1.85,1.86,147.37,7.8,59.51,0.75,0.47,0.91,1.92,62.72,47.94,29.0,2.35,0.0,19.99,70.3,0
24.18,43.02,9.65,0.66,1.38,1.39,145.66,42.54,62.45,0.74,0.44,0.78,1.78,28.85,43.8,59.04,1.46,0.0,1.87,12.75,0
-2.31,-8.7,-0.55,0.05,1.12,1.12,87.65,65.99,58.84,,0.78,2.95,3.77,146.18,73.49,-2.95,1.65,2.97,35.66,93.34,0
-84.12,278.24,-9.56,0.25,0.42,0.42,41.49,7.84,45.97,,1.3,-4.31,-3.31,132.56,130.23,-39.39,-0.25,0.0,24.63,112.51,0
-25.06,32.11,-16.34,0.02,0.55,0.55,237.97,224.16,416.92,,1.78,-2.28,-1.28,-7.51,178.04,-13.83,-53.21,0.0,11.45,-325.49,0
-22.72,240.97,-12.02,0.01,0.82,0.83,193.02,142.49,150.32,1.78,1.06,-11.28,-10.6,-11.3,109.43,-18.25,-0.11,12.72,6.04,-6373.76,0
-0.29,-0.48,-0.37,0.99,3.05,3.05,456.71,118.99,145.91,,0.39,0.63,1.63,45.72,38.67,-0.76,,0.0,57.57,91.57,0
21.94,39.36,11.29,0.07,2.56,2.56,187.91,169.19,68.13,,0.44,0.79,1.79,35.7,44.27,55.36,10.54,0.0,7.09,29.93,0
-6.06,121.68,-3.21,0.28,0.71,0.96,193.15,62.0,145.3,37.26,1.05,-21.07,-20.07,47.88,104.98,-1.5,0.12,0.0,28.54,100.48,0
4.4,4.41,2.12,160.55,166.77,166.77,176.02,4.03,0.65,,0.0,0.0,1.0,7.96,0.42,4091.06,2.68,0.0,1.72,14.79,0
,,,,,,,,,,,,,,,,,,,,0
39.51,77.41,17.89,0.48,1.8,1.8,165.25,104.52,63.66,,0.49,0.96,1.96,57.03,48.96,81.64,4.47,9.61,7.93,24.97,0
