ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
0.31,0.77,0.79,0.06,0.22,0.64,935.7,91.19,546.76,229.18,0.6,1.5,2.5,5.28,59.93,8.69,0.65,0.73,12.78,43.62,0
0.96,2.6,0.67,0.11,1.02,1.13,255.3,117.7,128.32,13.44,0.63,1.71,2.71,9.3,63.12,23.95,1.15,0.0,5.85,30.45,0
-5.06,-25.08,-1.61,0.05,0.49,0.51,115.58,40.87,46.32,1.56,0.8,3.95,4.95,0.67,79.82,14.98,0.34,39.18,1.34,42.14,0
2.51,13.58,1.41,0.12,0.67,0.67,204.23,41.2,75.55,0.38,0.82,4.41,5.41,12.93,81.52,29.45,0.85,44.11,5.85,24.28,0
0.06,3.35,0.03,0.4,1.11,1.59,216.65,95.58,59.25,64.96,0.98,58.65,59.65,26.85,98.32,0.06,,34.65,15.95,86.75,0
-0.9,-2.16,-0.59,0.17,0.92,1.5,241.43,102.32,135.04,79.14,0.59,1.41,2.41,26.5,58.55,2.9,2.82,0.1,18.17,87.02,0
3.21,6.38,1.48,1.29,1.88,2.05,168.13,40.96,69.46,11.65,0.5,0.98,1.98,32.74,49.58,20.96,3.96,5.91,13.64,66.42,0
2.93,16.23,2.4,0.19,0.98,0.99,298.81,122.37,119.94,2.25,0.82,4.54,5.54,8.63,81.96,8.14,0.99,29.99,4.68,35.41,0
0.67,0.87,1.8,5.47,6.72,6.73,977.09,39.59,31.6,0.04,0.14,0.18,1.29,0.67,22.65,92.48,1.13,10.63,0.0,0.0,0
25.85,64.25,20.37,3.3,4.54,4.75,286.88,72.04,58.26,12.55,0.6,1.49,2.49,74.57,59.76,43.53,29.46,0.0,38.4,59.43,0
-0.11,-0.27,-0.32,0.18,0.23,0.28,1023.47,24.36,547.95,27.6,0.58,1.38,2.38,11.02,58.06,0.09,0.54,3.67,31.32,108.72,0
8.49,9.8,7.91,2.66,6.08,6.57,338.92,127.02,37.25,18.3,0.13,0.15,1.15,35.18,13.32,94.32,3.27,0.0,24.85,59.55,0
0.52,1.41,0.37,0.19,0.73,1.22,254.57,85.04,156.55,77.06,0.63,1.69,2.69,24.13,62.77,14.57,1.58,0.0,16.51,68.44,0
6.71,48.29,431.35,0.02,0.55,0.73,23399.21,10749.47,20118.04,3645.95,0.86,6.2,7.2,10.57,86.1,18.35,0.39,0.0,247.96,-1.33,0
33.56,59.57,23.44,0.82,1.97,2.19,254.27,118.33,103.6,22.94,0.44,0.77,1.77,41.18,43.66,102.05,6.06,0.0,5.32,16.14,0
4.71,85.09,1.88,0.16,0.83,0.84,145.23,72.5,105.34,1.67,0.94,17.07,18.07,32.74,94.47,12.2,0.67,4.88,11.18,63.24,0
-0.69,-0.89,-94.13,35.71,46.52,46.52,49729.1,2396.42,221.79,,0.23,0.29,1.29,-0.69,22.57,-2.17,1.25,0.0,0.0,0.0,0
17.17,35.65,8.56,9.1,9.79,9.97,181.44,8.66,12.65,2.3,0.52,1.08,2.08,17.17,51.83,58.77,3.22,0.0,0.0,0.0,0
0.13,0.15,4.63,0.2,18.95,18.95,12707.12,10922.68,241.19,0.0,0.11,0.12,1.12,0.13,10.7,31.52,7.85,8.78,0.0,0.0,0
-24.92,-43.38,-32.55,0.24,0.5,0.52,475.49,50.93,196.44,4.11,0.43,0.74,1.74,-6.7,42.57,-4.76,0.75,0.15,23.79,91.44,0
24.4,83.08,11.81,0.02,1.03,1.11,176.13,124.18,123.04,9.7,0.71,2.41,3.41,24.4,70.63,43.48,1.37,0.0,0.0,0.0,0
16.93,19.5,9.44,6.04,7.94,7.94,202.92,46.39,24.48,0.14,0.13,0.15,1.15,41.51,13.18,136.53,30.14,0.0,13.71,51.13,0
1.98,4.59,0.94,0.34,1.12,1.34,172.79,75.48,97.03,21.5,0.57,1.31,2.31,26.21,56.8,18.28,1.8,0.0,11.5,63.8,0
1.2,3.36,0.63,0.38,1.11,1.37,189.94,85.21,55.86,30.92,0.64,1.8,2.8,72.31,64.24,9.9,2.54,32.46,37.1,89.48,0
0.07,4.96,0.08,0.09,0.54,0.83,398.35,172.05,385.85,112.99,0.99,66.3,67.3,29.64,98.51,4.27,0.08,0.0,22.57,69.63,0
7.73,17.2,3.12,0.28,1.1,1.97,147.01,59.99,72.77,64.25,0.55,1.23,2.23,70.88,55.08,14.69,127.98,0.0,25.51,94.41,0
42.12,88.94,16.19,0.22,0.62,0.62,139.91,28.16,49.25,0.11,0.53,1.11,2.11,163.76,52.65,90.47,0.69,15.01,46.76,68.57,0
12.91,28.91,2.01,0.84,1.19,1.71,56.58,5.74,16.42,8.74,0.55,1.24,2.24,158.25,55.35,39.45,1.32,10.86,22.59,84.27,0
2.44,46.92,1.29,0.3,0.85,0.85,191.7,92.66,170.01,0.03,0.95,18.21,19.21,2.44,94.79,10.01,0.43,0.0,0.0,0.0,0
5.55,9.1,2.56,1.09,1.44,2.9,168.13,11.4,37.8,56.2,0.39,0.64,1.64,37.09,39.07,41.73,2.37,0.0,14.57,63.81,0
13.56,31.87,23.58,0.66,0.87,0.88,632.9,75.01,358.78,2.86,0.57,1.35,2.35,18.33,57.45,30.39,0.86,0.0,8.29,18.01,0
29.23,74.4,6.6,0.08,0.73,1.74,82.14,30.1,46.65,47.77,0.61,1.55,2.55,29.23,60.71,48.14,,0.0,0.0,0.0,0
4.16,173.99,2.44,0.02,1.03,1.03,213.76,207.29,205.27,,0.98,40.81,41.81,13.86,97.61,4.26,,0.0,5.7,67.86,0
43.55,48.79,14.55,7.21,11.76,18.09,121.57,30.08,6.62,42.5,0.11,0.12,1.12,141.81,10.72,414.47,318.85,0.0,32.82,60.97,0
-0.35,2.76,-3.59,0.13,0.14,0.89,3725.68,,4150.05,3149.58,1.13,-8.88,-7.88,-0.35,112.69,-0.31,,0.0,0.0,0.0,0
-48.43,-83.13,-81.7,0.25,1.68,2.23,614.12,308.42,237.19,132.43,0.42,0.72,1.72,-32.17,41.75,-78.7,4.76,0.0,27.43,544.99,0
0.65,2.63,2.34,0.18,0.27,0.47,1315.2,58.5,612.69,126.82,0.75,3.06,4.06,1.38,75.38,8.94,0.66,28.17,2.65,7.19,0
0.6,2.24,0.24,0.95,1.04,1.04,146.35,9.54,105.84,,0.73,2.72,3.72,45.68,73.13,2.79,1.14,0.0,18.12,91.51,0
13.66,20.13,13.87,1.39,1.79,1.9,369.63,26.61,41.67,7.88,0.29,0.43,1.47,30.87,32.17,67.52,1.06,7.05,17.48,41.57,0
1.67,6.57,0.84,0.0,0.29,0.75,184.08,36.01,56.11,58.37,0.75,2.93,3.93,33.05,74.56,6.28,0.58,38.03,15.87,83.19,0
0.36,1.54,0.21,0.04,0.04,0.87,211.81,0.55,132.62,111.14,0.77,3.31,4.33,32.36,76.9,9.8,0.82,0.0,18.62,75.13,0
17.6,42.02,10.62,0.5,1.83,3.05,219.6,48.2,36.16,44.48,0.58,1.37,2.39,50.2,58.11,54.74,1.67,16.04,19.66,50.71,0
6.41,32.46,4.88,1.05,1.25,1.25,277.35,42.69,220.17,,0.8,4.07,5.07,6.41,80.26,7.98,,0.0,0.0,0.0,0
1.13,4.21,1.43,0.51,1.32,1.33,459.12,266.63,328.25,2.71,0.73,2.71,3.71,4.57,73.06,3.31,7.01,0.0,4.34,48.12,0
4.01,5.85,1.36,0.06,1.51,2.29,123.35,28.18,19.5,15.25,0.29,0.42,1.46,14.24,28.61,38.7,1.28,12.06,2.51,32.07,0
6.96,12.37,5.68,1.16,1.57,1.62,297.04,51.86,125.48,5.77,0.44,0.78,1.78,38.35,43.7,25.2,1.85,0.0,25.61,72.0,0
-9.77,-17.77,-7.43,0.39,0.47,0.75,276.85,7.2,93.01,26.31,0.45,0.82,1.82,58.96,45.05,11.32,0.9,0.0,52.27,98.39,0
2.83,3.12,1.32,3.21,7.36,8.37,169.72,58.0,13.95,14.26,0.09,0.1,1.1,10.23,9.09,68.17,3.03,0.0,3.45,46.54,0
1.53,2.65,0.84,0.55,1.47,1.75,199.52,56.16,55.23,17.87,0.42,0.73,1.73,57.19,42.1,23.62,1.48,9.02,30.51,83.63,0
12.11,52.14,7.09,0.31,1.2,1.26,213.11,125.3,152.43,8.65,0.77,3.31,4.31,26.08,76.77,17.02,6.3,0.01,8.18,44.14,0
27.4,71.33,9.31,0.83,1.38,1.41,123.72,41.17,75.28,2.51,0.62,1.6,2.6,36.15,61.59,51.32,2.88,0.0,2.98,20.24,0
0.0,0.0,,4.75,179.0,179.0,,,,,0.0,0.0,1.0,0.0,0.36,0.0,2.82,0.0,,,0
-9.95,-175.24,-29.74,0.02,0.12,0.43,1087.5,19.88,342.58,120.49,0.94,16.6,17.6,-3.57,94.32,-2.88,0.74,27.97,19.06,116.16,0
-2.14,-36.28,-3.91,0.19,2.78,2.97,666.45,318.83,90.07,23.38,0.71,12.06,16.98,3.6,94.11,5.41,1.31,9.98,10.5,51.97,0
7.83,16.84,9.81,0.13,0.59,0.94,455.63,102.8,223.99,78.33,0.53,1.14,2.15,29.94,53.47,27.28,0.88,0.0,27.67,64.41,0
4.95,5.62,7.45,1.12,5.0,6.9,547.8,229.08,59.24,114.08,0.12,0.13,1.13,14.14,11.88,54.68,3.68,0.0,13.82,54.06,0
0.29,0.39,0.26,1.21,4.23,4.26,323.41,164.37,54.48,2.11,0.24,0.33,1.33,38.94,25.01,27.21,2.95,0.0,34.33,87.55,0
