ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
38.94,67.46,11.92,1.94,2.28,2.52,111.39,12.05,36.22,8.92,0.42,0.73,1.73,41.84,42.28,93.85,3.93,9.23,0.89,4.89,17.72,29.66,9.22,2.11,2.32,2.48,189.51,14.31,67.3,10.9,0.4,0.67,1.67,21.96,40.28,52.0,7.0,4.35,1.63,9.3,0
0.31,0.77,0.79,0.06,0.22,0.64,935.7,91.19,546.76,229.18,0.6,1.5,2.5,5.28,59.93,8.69,0.65,0.73,12.78,43.62,0.23,0.6,0.5,0.04,0.17,0.67,798.28,61.86,484.91,246.24,62.0,163.19,2.63,6.52,62.0,8.12,0.65,0.39,9.71,34.74,0
0.96,2.6,0.67,0.11,1.02,1.13,255.3,117.7,128.32,13.44,0.63,1.71,2.71,9.3,63.12,23.95,1.15,0.0,5.85,30.45,4.08,6.73,1.71,0.93,1.48,1.5,153.15,32.99,59.24,0.71,39.4,65.03,1.65,21.11,39.4,72.0,1.49,0.0,5.13,24.67,0
-5.06,-25.08,-1.61,0.05,0.49,0.51,115.58,40.87,46.32,1.56,0.8,3.95,4.95,0.67,79.82,14.98,0.34,39.18,1.34,42.14,,,,,,,,,,,,,,,,,,,,,0
10.56,10.56,70.54,,,,1803.62,414.27,,,,,1.0,10.56,0.0,,,0.0,0.0,0.0,-75.01,144.11,-10.57,0.05,0.83,0.83,51.27,47.52,61.11,,1.52,-2.92,-1.92,478.87,152.05,-49.33,,0.0,78.01,114.61,0
1.19,29.57,1.61,0.93,1.27,1.27,491.24,49.85,147.54,,0.96,23.81,24.81,1.19,95.97,1.24,0.85,0.0,0.0,0.0,2.93,41.21,2.01,1.01,1.42,1.42,249.45,29.54,71.16,,0.93,13.08,14.08,12.03,92.9,14.36,0.75,0.0,6.24,35.73,0
2.51,13.58,1.41,0.12,0.67,0.67,204.23,41.2,75.55,0.38,0.82,4.41,5.41,12.93,81.52,29.45,0.85,44.11,5.85,24.28,1.23,15.43,1.44,0.41,1.1,1.12,423.37,38.25,7.57,1.11,0.92,11.5,12.5,2.65,92.0,13.34,1.02,11.44,1.65,7.83,0
-2.5,-2.76,-0.99,10.82,10.87,10.87,107.99,0.55,13.07,,0.09,0.1,1.1,4.23,9.18,-27.29,,0.0,2.66,129.25,14.18,36.19,7.39,0.84,1.11,1.64,189.7,31.03,114.09,61.03,0.61,1.55,2.55,16.97,60.82,23.31,,0.0,1.45,12.14,0
0.06,3.35,0.03,0.4,1.11,1.59,216.65,95.58,59.25,64.96,0.98,58.65,59.65,26.85,98.32,0.06,,34.65,15.95,86.75,6.04,72.71,2.39,0.27,1.21,1.44,143.94,92.23,74.6,22.67,0.92,11.04,12.04,38.08,91.69,6.59,,16.29,9.25,54.06,0
-0.9,-2.16,-0.59,0.17,0.92,1.5,241.43,102.32,135.04,79.14,0.59,1.41,2.41,26.5,58.55,2.9,2.82,0.1,18.17,87.02,3.03,8.42,1.92,0.66,2.93,4.74,230.57,77.33,34.03,61.59,0.64,1.78,2.78,34.84,64.02,10.53,2.86,0.02,14.35,58.96,0
-7.21,-273.13,-5.24,0.07,0.56,0.56,236.34,120.95,251.55,,0.97,36.88,37.88,25.68,97.36,-6.39,0.06,0.0,23.91,122.89,-5.04,157.02,-4.11,0.03,0.73,0.79,296.47,138.55,180.15,13.03,1.03,-32.13,-31.13,30.17,103.21,4.02,-0.06,6.15,28.68,83.53,0
15.77,41.99,9.0,2.81,10.79,10.79,145.47,151.83,19.04,,0.62,1.66,2.66,22.3,62.44,25.26,,0.0,3.73,24.03,7.26,15.09,7.75,0.41,0.93,1.34,388.68,105.11,199.5,81.48,0.52,1.08,2.08,36.65,51.9,13.99,1.59,0.0,31.39,69.35,0
3.21,6.38,1.48,1.29,1.88,2.05,168.13,40.96,69.46,11.65,0.5,0.98,1.98,32.74,49.58,20.96,3.96,5.91,13.64,66.42,10.7,150.61,6.6,0.26,0.7,0.81,224.38,30.82,70.88,7.61,0.93,13.07,14.07,34.2,92.89,18.43,0.89,0.0,14.48,48.07,0
2.93,16.23,2.4,0.19,0.98,0.99,298.81,122.37,119.94,2.25,0.82,4.54,5.54,8.63,81.96,8.14,0.99,29.99,4.68,35.41,0.24,1.89,0.37,0.01,0.95,0.95,551.59,327.34,303.42,2.85,0.87,6.81,7.81,1.74,87.2,7.49,0.92,22.32,1.69,9.04,0
0.67,0.87,1.8,5.47,6.72,6.73,977.09,39.59,31.6,0.04,0.14,0.18,1.29,0.67,22.65,92.48,1.13,10.63,0.0,0.0,2.0,2.33,4.02,1.71,1.96,1.96,732.52,24.77,61.05,0.03,0.14,0.16,1.16,2.07,14.15,109.12,1.19,5.72,0.16,0.49,0
25.85,64.25,20.37,3.3,4.54,4.75,286.88,72.04,58.26,12.55,0.6,1.49,2.49,74.57,59.76,43.53,29.46,0.0,38.4,59.43,4.79,8.62,4.3,3.42,7.11,7.62,326.84,149.08,40.32,20.32,0.44,0.8,1.8,69.03,44.37,13.93,15.02,0.0,42.47,65.79,0
-0.11,-0.27,-0.32,0.18,0.23,0.28,1023.47,24.36,547.95,27.6,0.58,1.38,2.38,11.02,58.06,0.09,0.54,3.67,31.32,108.72,-2.78,-6.66,-7.8,0.07,0.17,0.21,1022.39,57.38,547.09,26.29,0.58,1.4,2.4,9.7,58.29,-4.77,0.48,3.98,25.23,66.68,0
8.49,9.8,7.91,2.66,6.08,6.57,338.92,127.02,37.25,18.3,0.13,0.15,1.15,35.18,13.32,94.32,3.27,0.0,24.85,59.55,7.88,9.0,6.39,3.55,6.82,7.4,295.42,96.81,29.94,17.41,0.12,0.14,1.14,38.35,12.47,91.91,3.67,0.0,17.37,46.1,0
0.52,1.41,0.37,0.19,0.73,1.22,254.57,85.04,156.55,77.06,0.63,1.69,2.69,24.13,62.77,14.57,1.58,0.0,16.51,68.44,1.08,3.46,0.67,0.04,0.81,1.19,225.2,105.31,137.08,52.5,0.69,2.2,3.2,21.73,68.79,7.64,1.46,3.95,8.92,51.32,0
6.71,48.29,431.35,0.02,0.55,0.73,23399.21,10749.47,20118.04,3645.95,0.86,6.2,7.2,10.57,86.1,18.35,0.39,0.0,247.96,-1.33,6.52,81.5,2.38,0.14,0.51,0.71,132.69,45.02,121.87,25.5,0.92,11.5,12.5,10.72,92.0,17.58,0.24,0.0,1.07,16.4,0
33.56,59.57,23.44,0.82,1.97,2.19,254.27,118.33,103.6,22.94,0.44,0.77,1.77,41.18,43.66,102.05,6.06,0.0,5.32,16.14,10.77,20.58,11.71,0.46,1.93,2.1,395.68,114.89,119.62,20.05,0.48,0.91,1.91,17.83,47.65,36.38,1.94,0.0,7.68,25.92,0
-0.91,-0.91,,,,,,,,,,,1.0,-0.91,0.0,,,0.0,,,25.28,27.23,75.02,13.91,13.91,13.91,1080.35,,76.8,,0.07,0.08,1.08,25.28,7.19,351.67,,0.0,0.0,0.0,0
4.71,85.09,1.88,0.16,0.83,0.84,145.23,72.5,105.34,1.67,0.94,17.07,18.07,32.74,94.47,12.2,0.67,4.88,11.18,63.24,7.24,46.93,2.32,0.09,0.66,0.72,116.44,48.71,75.56,4.72,0.85,5.48,6.48,45.03,84.57,19.6,0.54,10.16,8.68,43.9,0
-0.69,-0.89,-94.13,35.71,46.52,46.52,49729.1,2396.42,221.79,,0.23,0.29,1.29,-0.69,22.57,-2.17,1.25,0.0,0.0,0.0,-1.09,-1.77,-178.77,0.37,0.7,0.7,59553.81,2625.16,7957.29,0.0,0.38,0.62,1.62,-0.9,38.33,-2.5,0.95,6.89,21.75,-22.76,0
