ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
13.13,60.56,2.35,0.04,0.74,11.2,65.1,4.05,5.75,60.96,0.78,3.61,4.61,13.13,78.32,16.76,,0.0,0.0,0.0,12.9,40.74,2.4,0.14,0.86,8.35,67.98,5.74,8.03,60.99,0.68,2.16,3.16,12.9,68.33,18.88,,0.0,0.0,0.0,0
-17.81,-17.81,-72.93,,,,1490.2,,,,,,1.0,-16.17,0.0,,,0.0,6.71,-9.71,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0
0.0,,0.0,0.18,0.38,0.99,129.8,25.38,128.35,79.72,1.0,,,17.7,100.0,3.09,0.07,0.0,6.31,39.42,0.0,,0.0,0.23,0.4,0.99,134.28,22.43,132.44,80.47,1.0,,,21.29,100.0,0.0,0.0,0.0,7.83,48.21,0
60.93,73.29,38.16,3.23,6.07,6.07,227.98,105.5,37.08,,0.17,0.2,1.2,99.75,16.87,361.18,,0.0,24.31,33.93,22.53,25.74,23.4,1.44,8.02,8.02,379.01,306.23,46.55,0.0,0.12,0.14,1.14,46.54,12.45,180.95,,0.0,24.92,46.28,0
0.01,0.35,0.0,0.29,0.76,1.08,114.62,49.44,105.34,33.67,0.96,24.5,25.5,39.61,96.08,0.69,,0.0,12.47,100.4,0.01,0.33,0.0,0.26,0.66,1.05,139.38,52.5,131.31,51.82,0.96,25.75,26.75,32.27,96.26,0.01,,0.0,12.32,101.53,0
29.68,37.75,13.75,3.8,4.21,4.66,115.8,14.38,35.62,16.3,0.21,0.27,1.27,29.68,21.36,138.96,,0.0,0.0,0.0,23.37,40.34,13.49,1.63,2.34,2.38,210.73,61.73,87.44,3.63,0.42,0.73,1.73,23.37,42.07,55.55,,0.0,0.0,0.0,0
33.93,94.48,9.25,0.19,0.96,1.56,99.26,44.01,57.71,35.2,0.64,1.78,2.78,83.26,64.09,64.57,5.43,0.0,13.45,48.35,30.18,94.33,5.89,0.14,0.99,1.45,71.28,38.68,45.72,21.48,0.68,2.12,3.13,81.17,68.01,48.42,7.51,0.0,9.96,54.5,0
5.26,26.76,1.85,0.26,0.47,1.37,128.26,14.64,71.12,65.37,0.8,4.09,5.09,39.34,80.36,17.15,1.81,20.64,12.01,63.24,8.21,26.21,1.8,0.28,0.55,1.77,80.06,9.95,23.8,45.0,0.69,2.19,3.19,67.92,68.66,24.26,2.81,34.62,13.1,70.42,0
0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,-20.92,-20.92,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0
46.33,90.05,12.67,1.28,2.21,2.21,99.52,28.91,31.16,,0.49,0.94,1.94,88.51,48.56,112.87,2.26,0.0,11.53,37.98,58.15,79.51,25.7,2.45,3.8,3.8,161.35,51.92,38.45,0.0,0.27,0.37,1.37,81.99,26.87,232.49,9.24,0.0,10.54,23.32,0
2.39,53.9,0.64,0.17,0.52,1.01,98.06,22.51,75.53,37.76,0.96,21.56,22.56,30.79,95.57,5.13,1.03,16.38,7.65,80.41,3.05,64.33,0.76,0.27,0.59,0.99,90.97,21.88,75.95,30.97,0.95,20.07,21.08,30.39,95.26,5.39,0.93,8.78,6.81,78.09,0
29.41,-33.9,7.43,0.21,0.73,0.73,91.91,55.97,108.78,,1.87,-2.15,-1.15,59.64,186.77,17.59,-6.51,0.0,7.63,50.76,40.94,41.18,8.15,,,,72.66,58.18,0.0,0.0,0.01,0.01,1.01,68.75,0.6,7520.19,9.55,0.0,5.54,33.35,0
16.02,16.88,7.55,16.93,19.57,19.57,171.43,22.68,8.59,,0.05,0.05,1.05,16.02,5.06,316.41,,0.0,0.0,0.0,8.1,8.64,3.79,13.3,15.91,15.91,170.98,27.59,10.54,,0.06,0.07,1.07,8.1,6.25,129.56,,0.0,0.0,0.0,0
-8.75,64.43,-85.69,0.03,0.08,0.11,3565.09,63.29,1534.89,56.06,1.14,-8.36,-7.36,-4.04,113.58,-7.7,0.59,0.0,46.14,-23.01,-3.0,18.18,-28.9,0.05,0.07,0.12,3517.44,30.36,1505.42,78.8,1.16,-7.06,-6.06,0.38,116.5,-2.57,0.6,0.0,32.53,445.89,0
30.69,37.37,8.13,0.64,3.63,4.7,96.45,58.38,19.52,21.08,0.18,0.22,1.22,46.76,17.88,176.33,26.37,0.0,4.26,28.63,15.6,22.17,4.87,0.55,2.71,3.54,113.94,66.76,30.91,25.75,0.3,0.42,1.42,31.58,29.63,55.3,25.66,0.0,4.99,43.17,0
2.74,28.71,2.15,0.58,0.75,1.11,150.31,44.92,254.92,91.59,0.9,9.47,10.47,2.74,90.45,3.03,,0.0,0.0,0.0,0.68,16.71,0.86,0.48,0.95,1.05,460.65,191.65,412.26,40.51,0.96,23.45,24.45,0.68,95.91,2.12,1.81,0.0,0.0,0.0,0
77.5,77.5,96.13,,,,230.73,165.92,0.0,0.0,0.0,0.0,1.0,77.5,0.0,,,0.0,0.0,0.0,67.05,80.92,41.18,5.2,5.85,5.85,224.18,24.56,37.81,,0.17,0.21,1.21,75.93,17.14,391.26,,0.0,5.45,9.66,0
-4.84,67.01,-1.76,0.33,0.73,1.05,132.25,43.68,109.37,36.38,1.07,-14.84,-13.84,17.23,107.23,-4.15,1.39,22.74,8.02,98.91,0.0,-0.01,0.0,0.22,0.85,1.31,113.05,46.45,73.64,34.7,1.08,-14.12,-13.12,24.5,107.62,0.04,2.79,24.28,7.59,92.92,0
53.78,82.97,16.29,1.3,2.35,3.4,110.26,,26.79,28.34,0.35,0.54,1.54,108.94,35.19,154.81,4.66,8.35,16.71,45.02,57.96,90.12,16.61,0.64,1.66,3.08,104.62,,29.91,42.81,0.36,0.55,1.55,109.08,35.69,170.74,7.96,4.2,14.65,40.58,0
1.47,34.16,0.78,0.01,0.65,0.85,191.37,115.25,179.58,36.07,0.96,22.16,23.17,28.65,95.68,2.05,0.26,0.0,14.29,94.17,-0.65,-49.69,-0.72,0.1,0.48,0.62,401.94,86.31,214.08,31.8,0.99,74.88,75.88,10.54,98.68,2.43,0.67,44.19,12.33,73.42,0
-0.75,-1.94,-0.25,0.13,0.46,0.97,120.89,4.35,42.0,26.7,0.61,1.58,2.59,38.23,61.43,3.07,0.95,13.22,12.95,94.68,0.21,0.51,0.07,0.12,0.41,0.92,116.35,4.28,39.22,26.32,0.6,1.47,2.47,39.4,59.52,5.08,0.92,12.85,12.49,88.03,0
-8.33,729.31,-9.77,0.02,0.08,0.81,427.13,26.32,405.89,301.06,1.01,-88.55,-87.55,5.05,101.14,-8.24,0.18,0.0,15.7,102.56,-7.22,64.42,-7.46,0.02,0.11,0.72,377.24,39.09,412.26,254.8,1.11,-9.92,-8.93,18.08,111.2,-6.5,-0.55,0.0,26.15,103.27,0
4.13,37.92,1.55,0.03,0.77,1.01,137.03,83.73,119.85,29.33,0.89,8.18,9.18,23.94,89.11,6.74,1.14,0.0,7.46,73.94,-19.42,-5364.33,-5.19,0.04,0.55,0.8,97.55,48.19,94.68,23.86,1.0,275.29,276.29,17.6,99.64,-15.68,0.03,0.0,9.89,126.72,0
-10.25,-11.63,-13.57,0.59,1.72,2.51,141.67,64.25,56.46,44.9,0.12,0.13,1.13,-10.25,11.84,-86.56,1.25,0.0,0.0,0.0,-8.81,-19.77,-4.61,0.04,0.32,0.59,191.19,29.2,104.59,28.49,0.55,1.25,2.25,-8.81,55.47,25.06,0.66,0.0,0.0,0.0,0
-2.12,10.89,-1.02,0.24,0.5,2.8,175.93,14.66,43.71,127.33,1.19,-6.14,-5.14,17.93,119.45,-0.53,5.63,6.35,9.69,93.97,5.46,3792.31,3.04,0.42,1.79,4.5,203.62,55.49,31.19,111.86,1.0,693.84,694.84,20.77,99.86,6.77,8.23,4.7,8.54,64.7,0
0.59,5.81,0.69,0.02,0.17,0.21,431.05,55.41,362.89,14.19,0.9,8.93,9.93,7.04,89.93,6.49,0.18,0.0,7.65,48.77,0.64,34.06,0.81,0.02,0.12,0.14,462.39,44.25,431.96,9.19,0.98,52.36,53.36,8.65,98.13,7.47,0.06,0.0,10.15,51.04,0
-1.5,-1.5,,,,,,,,,,,1.0,-1.5,0.0,,,0.0,,0.0,-17.59,-17.59,,,,,,,,,,,1.0,-17.59,0.0,,,0.0,,0.0,0
4.89,51.39,3.27,0.18,0.29,0.96,243.16,21.5,188.48,127.39,0.9,9.5,10.5,4.89,90.48,18.91,0.87,0.0,0.0,0.0,2.0,31.53,4.97,0.13,0.18,0.74,909.05,42.69,839.8,479.32,0.94,14.79,15.79,2.0,93.67,9.99,0.21,0.0,0.0,0.0,0
2.02,2.14,2.23,8.59,8.81,11.11,401.28,4.7,21.65,50.63,0.06,0.06,1.06,30.08,5.81,34.72,2.41,0.0,30.94,87.45,3.7,4.31,2.08,4.17,4.25,5.44,205.34,2.09,27.47,33.16,0.14,0.16,1.16,53.95,14.06,87.21,3.37,0.0,28.27,75.05,0
33.88,37.68,7.26,5.17,7.42,9.18,78.05,16.76,7.45,13.29,0.1,0.11,1.11,36.64,10.09,383.42,8.56,0.0,0.59,5.68,25.51,27.27,6.86,7.08,10.97,15.4,98.16,22.68,5.83,26.16,0.06,0.07,1.07,27.64,6.44,433.46,14.04,0.0,0.57,5.76,0
27.69,-13.19,17.42,0.11,0.31,0.31,228.98,0.0,693.6,0.0,3.1,-1.48,-0.48,27.69,309.87,14.65,-46.72,0.0,0.0,0.0,50.09,-148.29,29.23,0.02,0.69,0.69,213.01,,207.56,,1.34,-3.96,-2.96,50.09,133.78,40.9,0.04,0.0,0.0,0.0,0
3.55,4.34,68.33,5.51,5.51,5.51,7005.79,,1257.6,,0.18,0.22,1.22,3.55,18.15,19.56,,0.0,0.0,0.0,3.42,4.16,68.33,5.39,5.62,5.62,7298.78,288.0,1281.6,,0.18,0.22,1.22,3.42,17.8,19.19,,0.0,0.0,0.0,0
15.07,27.85,19.51,0.01,3.5,3.51,471.28,457.36,131.06,0.44,0.46,0.85,1.85,16.31,45.89,32.84,51.91,0.0,1.6,6.75,4.36,7.44,17.01,0.1,4.19,4.19,1423.0,1349.27,330.63,0.05,0.41,0.71,1.71,5.6,41.38,10.54,55.06,0.0,4.84,17.88,0
-14.54,-33.54,,0.6,0.61,1.77,,,,,0.57,1.31,2.31,-14.54,56.64,-25.67,,0.0,,0.0,-8.91,272.61,-385.01,0.03,0.19,0.19,15777.08,2497.87,16069.39,,1.03,-31.61,-30.61,-8.91,103.27,-8.63,-0.04,0.0,0.0,0.0,0
-6.0,-6.27,,22.29,23.56,23.56,,,,,0.04,0.04,1.04,-6.0,4.25,-141.41,,0.0,,0.0,-0.21,-0.22,,23.27,23.27,23.27,,,,,0.04,0.04,1.04,-0.21,4.3,-5.0,,0.0,,0.0,0
18.47,66.06,28.14,1.3,1.41,1.41,554.6,41.22,96.27,,0.69,2.46,3.58,21.93,72.04,28.2,9.71,51.33,5.27,11.11,5.29,17.0,6.84,1.29,1.48,1.48,471.86,57.59,106.22,0.31,0.66,2.13,3.21,10.21,68.88,9.32,17.55,43.47,6.36,31.74,0
-152.48,85.51,-21.66,0.27,0.39,0.39,51.71,15.29,132.22,,2.78,-1.56,-0.56,-6.12,278.32,-49.69,,0.0,20.79,724.19,76.07,156.51,32.01,0.67,2.14,2.14,153.6,103.57,70.65,0.25,0.51,1.06,2.06,101.29,51.39,148.02,,0.0,10.61,24.63,0
41.75,53.67,11.58,-0.27,0.17,2.25,100.98,8.63,19.61,41.23,0.2,0.26,1.29,67.58,22.22,215.32,1.48,0.0,7.17,31.79,30.84,36.42,12.37,2.47,2.94,4.97,146.41,8.55,18.04,37.2,0.13,0.16,1.18,48.86,15.31,246.12,2.3,0.0,7.23,30.82,0
7.97,9.63,8.95,2.67,4.84,5.21,408.94,144.73,66.61,24.71,0.17,0.21,1.21,20.18,17.23,55.2,6.24,0.0,13.72,52.73,11.24,16.71,8.27,2.03,2.47,2.61,268.37,37.19,85.84,12.83,0.33,0.49,1.49,26.13,32.73,34.4,4.7,0.0,10.95,51.77,0
0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
0.27,1.23,0.22,0.15,0.43,0.74,298.86,62.76,222.79,68.83,0.77,3.48,4.52,29.97,77.87,7.36,0.52,0.0,24.38,79.83,8.93,23.11,4.32,0.15,0.52,0.8,176.34,35.61,96.53,27.79,0.6,1.56,2.59,34.11,61.37,28.92,0.78,0.0,12.2,54.19,0
7.27,-114.67,6.87,0.09,0.27,0.84,344.05,65.32,360.77,211.32,1.06,-16.77,-15.77,25.33,106.34,12.28,-0.59,0.0,17.07,54.94,-0.78,-1.1,-1.01,0.27,0.68,2.79,470.59,53.7,130.65,279.74,0.29,0.4,1.4,12.51,28.66,16.37,3.38,0.0,17.14,66.42,0
-475.72,61.76,-20.51,0.04,0.04,0.07,15.69,,134.29,3.5,8.68,-1.13,-0.13,-397.74,870.27,13.95,,0.0,3.36,17.84,429.85,-271.43,17.47,0.02,0.03,0.26,14.83,0.06,37.52,8.74,2.58,-1.63,-0.63,499.84,258.37,166.37,,0.0,2.84,14.93,0
-13.76,-15.87,-8.79,1.56,1.61,2.79,232.66,1.15,23.73,28.37,0.13,0.15,1.15,6.34,13.34,-40.44,1.27,0.0,12.84,129.53,-22.89,-26.17,-32.55,1.52,1.62,1.62,519.05,5.95,61.03,,0.13,0.14,1.14,-9.22,12.51,-102.57,1.09,0.0,19.45,802.77,0
6.06,27.25,3.28,4.2,5.49,7.0,197.14,31.93,24.77,37.89,0.78,3.49,4.49,12.06,77.75,14.51,8.22,0.0,3.25,32.84,8.59,24.48,3.13,8.31,10.48,13.62,133.06,18.83,8.67,27.58,0.65,1.85,2.85,16.09,64.91,18.38,10.03,0.0,2.73,33.31,0
2.21,3.38,0.56,0.78,0.8,2.75,91.8,0.56,30.27,59.79,0.35,0.53,1.53,47.32,34.63,20.3,8.63,0.0,11.38,78.1,4.09,5.85,1.02,1.07,1.08,3.27,91.29,0.25,26.0,57.49,0.3,0.43,1.43,53.58,30.1,22.18,13.88,0.0,12.38,79.54,0
2.93,3.21,1.61,10.18,11.5,11.5,199.42,22.64,17.15,,0.09,0.1,1.1,2.93,8.7,33.72,,0.0,0.0,0.0,6.36,8.28,4.97,2.64,4.31,4.31,285.02,109.09,65.21,,0.23,0.3,1.3,6.36,23.2,27.43,,0.0,0.0,0.0,0
8.3,29.15,2.44,0.19,1.0,1.34,107.09,56.94,69.66,24.89,0.71,2.5,3.51,37.87,71.51,17.02,6.1,3.61,8.7,62.01,-2.75,-9.13,-0.77,0.22,0.79,1.34,102.84,35.44,66.23,37.33,0.7,2.31,3.32,36.78,69.92,0.49,7.55,1.55,11.14,85.88,0
