ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
5.09,13.3,1.42,14.19,16.93,41.66,101.13,4.87,1.78,44.08,0.62,1.61,2.61,5.09,61.69,23.0,1.49,0.0,0.0,0.0,0
16.69,24.52,,1.61,3.13,3.13,748.86,360.0,236.37,,0.32,0.47,1.47,16.69,31.91,52.3,,0.0,0.0,0.0,0
0.0,,,0.13,0.34,0.9,109.03,22.01,106.83,60.52,1.0,,,16.54,100.0,3.12,0.0,0.0,3.43,29.3,0
6.21,7.24,20.59,0.45,7.9,7.9,1206.26,1124.42,151.07,,14.12,16.44,1.16,6.21,14.12,44.01,,0.0,0.0,0.0,0
3.27,41.15,1.08,0.13,0.83,1.09,120.84,77.19,109.89,27.88,0.92,11.6,12.6,17.95,92.06,3.55,,0.0,3.49,64.57,0
-7.45,-9.86,-15.93,3.67,3.98,4.1,778.05,59.13,187.86,21.28,0.24,0.32,1.32,-7.45,24.41,-30.53,,0.0,0.0,0.0,0
22.13,95.55,9.71,0.12,0.68,0.97,159.66,53.16,89.05,28.22,0.77,3.31,4.32,58.13,76.7,35.2,0.92,17.92,11.46,37.45,0
24.22,35.83,6.23,1.35,1.69,3.43,93.59,8.99,27.13,45.96,0.32,0.48,1.48,66.48,32.41,75.15,32.49,4.28,10.87,56.07,0
16.37,22.8,10.73,1.33,1.33,3.55,238.68,0.58,66.58,147.2,28.2,39.28,1.39,16.37,28.2,58.05,,0.0,0.0,0.0,0
16.74,17.37,,-56.32,-266.26,-266.26,264.75,189.71,-28.11,,0.03,0.04,1.04,38.85,3.39,619.8,12.66,10.39,11.8,29.89,0
4.41,14.66,5.01,2.27,2.65,2.98,413.54,14.0,137.46,44.1,69.93,232.57,3.33,27.64,69.93,6.3,,0.0,26.39,76.12,0
24.48,50.17,5.22,0.26,0.75,1.82,77.55,16.09,37.67,40.47,0.51,1.05,2.05,57.68,51.12,52.47,5.35,0.0,5.04,34.18,0
12.74,-136.31,3.92,0.02,0.91,0.91,112.12,107.46,120.72,,109.35,-1169.76,-10.7,24.14,109.35,13.16,-7.41,0.0,3.51,36.31,0
9.95,10.75,,11.72,12.29,13.36,710.24,29.66,52.59,56.22,0.07,0.08,1.08,9.95,7.49,132.89,,0.0,0.0,0.0,0
0.25,1.1,1.35,0.19,0.43,0.59,1993.56,21.7,89.91,14.5,0.78,3.45,4.45,4.34,77.52,0.32,0.98,0.0,17.65,64.69,0
16.74,23.49,,1.65,2.67,2.67,235.05,67.75,66.65,,0.29,0.4,1.4,21.57,28.74,86.18,3.05,0.0,2.13,7.52,0
12.84,14.99,5.45,2.63,5.93,7.02,154.36,64.21,21.23,23.16,0.14,0.17,1.17,23.1,14.32,91.46,51.33,0.0,3.07,22.19,0
0.57,10.82,2.13,0.8,0.99,1.1,1354.62,212.84,1133.66,126.3,0.9,17.03,18.86,3.31,90.3,2.78,1.57,0.0,7.85,34.48,0
0.98,98.57,2.03,0.05,0.11,1.21,754.84,32.89,618.92,679.95,0.99,99.89,100.89,0.98,99.01,0.99,,0.0,0.0,0.0,0
18.16,23.56,,3.4,4.16,4.16,633.62,107.31,141.74,0.0,0.23,0.3,1.3,33.15,22.92,96.57,12.99,0.0,18.93,25.25,0
6.44,63.26,2.03,0.22,0.59,0.99,114.86,37.01,91.89,40.83,0.9,8.83,9.83,29.86,89.83,7.2,1.0,8.43,5.3,52.36,0
7.53,44.21,3.44,0.4,0.66,1.22,166.43,11.88,114.31,64.4,0.83,4.87,5.87,52.44,82.96,13.99,2.22,11.59,14.7,53.08,0
0.56,16.12,0.51,0.01,0.19,0.3,330.05,56.67,262.36,34.47,0.97,27.71,28.71,14.5,96.52,3.64,0.05,15.55,9.06,49.3,0
17.83,20.7,4.48,7.28,7.31,7.31,91.39,0.3,12.37,,0.14,0.16,1.16,33.56,13.89,128.31,,0.0,3.95,38.9,0
6.96,38.41,8.89,1.03,1.06,1.22,465.05,12.63,376.65,61.18,0.82,4.52,5.52,6.96,81.89,8.49,,0.0,0.0,0.0,0
0.49,1.01,,0.66,0.79,0.79,624.36,42.14,314.12,,0.51,1.04,2.04,0.49,50.87,57.06,0.83,0.0,0.0,0.0,0
0.98,2.11,0.27,0.12,0.3,0.82,99.63,5.37,35.12,21.63,0.54,1.16,2.16,50.01,53.66,8.89,0.86,6.62,9.4,62.91,0
24.26,26.0,56.1,14.94,14.94,14.94,841.59,,55.72,,6.69,7.17,1.07,24.26,6.69,362.44,,0.0,0.0,0.0,0
14.03,66.05,26.48,0.03,0.12,1.14,686.89,45.81,532.79,545.1,0.79,3.71,4.71,25.03,78.75,17.82,2.04,0.0,20.76,83.79,0
-0.2,-0.4,-0.04,1.23,1.24,2.27,80.75,0.31,35.22,36.13,0.5,1.0,2.0,235.17,50.03,-0.4,,4.03,37.15,66.15,0
1.3,-10.85,0.28,0.01,0.36,0.71,76.98,26.43,84.08,28.95,1.12,-9.34,-8.34,58.64,111.99,4.02,-0.59,0.0,8.73,63.41,0
10.75,27.31,10.13,0.19,0.69,1.5,342.75,101.93,177.38,166.43,60.62,153.93,2.54,14.17,60.62,27.78,4.3,8.29,3.21,14.25,0
4.17,57.74,1.63,0.13,0.77,2.23,142.78,15.38,60.01,87.64,0.93,12.86,13.86,18.48,92.79,5.49,10.89,0.03,4.07,36.55,0
2.32,32.0,2.12,0.03,1.68,1.72,333.15,165.57,100.16,4.45,0.93,12.79,13.79,6.61,92.75,6.86,1.46,10.51,2.91,20.82,0
-0.53,-46.0,-4.9,0.04,0.69,0.83,3398.59,2170.85,3322.01,464.66,0.99,86.62,87.62,-0.53,98.86,2.79,0.07,0.0,0.0,0.0,0
0.91,13.25,7.93,0.12,0.18,0.64,3185.32,165.55,2934.78,1336.69,0.93,13.62,14.62,0.91,93.16,8.93,0.17,0.0,0.0,0.0,0
2.99,3.54,2.32,5.11,5.15,5.45,281.51,1.72,41.05,12.02,15.35,18.14,1.18,2.99,15.35,122.32,4.32,0.0,0.0,0.0,0
18.65,20.39,4.84,7.24,10.43,12.42,94.53,23.62,7.4,14.71,0.08,0.09,1.09,20.95,8.49,219.67,68.05,0.0,0.42,6.12,0
5.84,7.35,1.59,3.38,3.38,4.85,99.23,,20.24,29.63,0.21,0.26,1.26,108.11,20.62,28.3,,0.0,27.88,89.45,0
7.8,74.18,2.91,0.18,0.94,1.34,135.79,73.3,96.27,38.48,0.89,8.51,9.51,17.41,89.48,10.01,2.69,0.0,2.55,32.96,0
27.48,59.58,1.71,0.5,0.81,0.81,22.6,3.71,12.04,,0.54,1.17,2.17,38.4,53.87,51.02,0.82,0.0,0.68,26.82,0
5.93,18.22,2.3,0.43,0.96,0.97,141.4,4.47,84.62,0.56,0.67,2.07,3.07,10.45,67.46,36.64,0.95,0.0,1.76,12.74,0
-2.57,149.1,-2.48,0.69,0.71,0.93,351.87,4.57,353.81,81.05,1.02,-59.11,-58.11,1.47,101.72,-0.3,-0.33,0.0,3.9,91.42,0
-7.95,-9.33,-45.75,2.85,6.77,6.77,2094.52,1200.0,306.0,,0.15,0.17,1.17,-7.95,14.77,-53.82,,0.0,0.0,0.0,0
-1.1,-1.92,-20.57,0.09,0.75,0.75,6777.44,1088.18,1652.74,0.13,0.43,0.74,1.74,-0.21,42.52,-2.6,0.92,0.0,16.65,-528.47,0
-2.3,20.5,-3.26,0.05,0.26,0.26,516.89,74.63,345.13,,1.11,-9.92,-8.92,15.15,111.22,30.93,0.46,0.0,18.0,21.58,0
38.5,71.7,8.39,0.31,1.96,2.18,79.33,59.23,35.98,8.1,0.46,0.86,1.86,38.5,46.3,83.15,,0.0,0.0,0.0,0
-7.47,-23.64,-13.4,1.24,1.45,1.46,653.16,95.32,167.8,3.27,68.4,216.49,3.16,-2.95,68.4,-9.34,,42.43,8.1,213.41,0
21.25,50.75,,0.74,1.48,1.48,142.22,59.76,80.88,,0.58,1.39,2.39,42.25,58.13,47.77,2.87,0.0,5.9,27.68,0
6.73,20.12,3.29,1.32,1.43,1.51,177.89,13.13,116.14,9.9,0.67,1.99,2.99,60.33,66.56,10.11,,0.0,26.2,107.5,0
2.24,19.71,0.58,0.17,0.43,0.82,93.85,14.41,80.54,32.04,0.88,7.78,8.79,42.68,88.44,6.32,0.44,0.0,7.13,57.37,0
-7.69,-17.78,-2.51,0.57,1.79,1.79,118.73,80.34,65.61,,0.57,1.31,2.31,39.79,56.73,-13.56,,0.0,15.49,90.5,0
7.82,93.59,8.82,0.13,0.24,1.09,410.25,42.42,371.82,315.08,0.92,10.96,11.96,15.4,91.64,8.54,,0.0,8.54,42.29,0
8.36,10.2,5.05,4.13,5.53,5.82,219.71,44.12,31.45,9.12,0.18,0.22,1.22,29.99,17.98,55.86,5.54,0.01,9.56,44.95,0
14.96,18.18,10.44,2.2,3.19,3.98,254.74,40.38,40.93,32.29,17.72,21.54,1.22,41.47,17.72,115.64,2.38,0.0,18.5,50.57,0
-5.06,-8.58,-7.81,0.97,1.56,2.33,562.03,135.16,227.4,173.63,0.41,0.7,1.7,9.49,41.09,15.87,12.07,0.0,22.46,60.95,0
-69.52,113.99,-45.96,0.06,0.32,0.51,240.65,99.57,276.52,71.45,160.99,-263.97,-1.64,-50.89,160.99,-25.58,-3.22,44.52,12.32,-3167.8,0
8.52,9.84,,2.32,2.32,2.32,983.67,,129.59,,0.13,0.16,1.16,8.97,13.48,88.72,1.26,0.0,0.97,2.51,0
23.57,28.15,10.22,3.94,5.79,6.92,157.79,34.64,18.73,21.08,0.16,0.19,1.19,31.16,16.28,166.94,5.38,0.0,2.15,11.62,0
9.82,10.49,8.0,15.06,15.06,15.53,296.49,,18.89,8.78,0.06,0.07,1.07,17.23,6.44,152.43,,0.0,6.04,30.74,0
-29.63,-38.97,-9.08,4.32,5.5,5.5,111.53,23.55,20.07,,0.24,0.31,1.31,60.57,23.95,-123.71,,0.0,27.64,124.01,0
-0.72,-0.93,-0.19,1.06,1.36,4.27,97.74,6.28,21.19,61.62,0.23,0.29,1.29,55.95,22.53,6.95,13.75,0.0,10.91,63.3,0
-25.5,64.6,-12.23,0.23,0.3,1.8,174.58,5.08,70.83,105.77,1.39,-3.53,-2.53,-2.01,139.47,-17.55,-1.49,0.0,11.26,-738.79,0
5.59,-42.79,1.7,0.23,0.67,0.84,110.98,54.41,123.8,20.66,113.06,-865.68,-7.66,12.93,113.06,4.94,-2.42,0.0,1.64,37.94,0
18.11,21.51,11.73,4.67,6.33,6.33,235.77,61.04,36.84,,0.16,0.19,1.19,18.11,15.8,114.63,,0.0,0.0,0.0,0
5.68,18.41,1.69,0.24,1.02,1.39,108.36,54.09,71.79,26.81,0.69,2.24,3.24,34.1,69.1,10.36,5.13,0.0,6.22,52.48,0
15.12,56.43,17.84,0.11,0.31,0.4,429.26,60.93,290.67,27.36,0.73,2.73,3.73,30.64,73.18,27.43,0.38,4.22,13.2,27.95,0
23.82,92.61,,0.07,0.48,0.48,224.32,67.29,164.8,,0.74,2.89,3.89,46.18,74.28,35.62,0.42,0.0,10.94,29.82,0
13.89,65.16,5.86,0.0,0.67,1.24,153.61,78.06,80.9,66.83,0.79,3.69,4.69,62.51,78.68,19.74,4.75,23.59,20.52,93.25,0
-16.19,-950.98,,0.41,0.9,0.9,220.01,79.16,129.09,,98.3,5772.73,58.73,7.68,98.3,2.03,0.78,18.25,10.58,48.27,0
-3.77,-7.92,-0.81,0.08,1.15,2.04,78.11,40.13,37.5,33.47,0.52,1.1,2.1,62.45,52.35,-7.21,89.57,0.0,10.39,66.06,0
-12.16,-27.85,-8.82,0.31,0.84,0.84,263.96,79.32,147.03,,0.56,1.29,2.29,-12.16,56.32,-21.6,0.83,0.0,0.0,0.0,0
30.83,31.26,5.67,,,,66.96,,,,0.01,0.01,1.01,66.85,1.38,2236.17,,0.0,6.45,52.48,0
28.85,36.89,34.37,1063.92,1258.71,1258.71,433.58,0.12,0.32,,21.79,27.86,1.28,31.34,21.79,135.0,21.41,0.0,0.0,0.0,0
9.11,18.01,3.13,0.62,0.68,2.08,125.41,3.71,58.04,81.29,0.49,0.98,1.98,42.48,49.41,24.6,24.17,0.0,8.21,48.35,0
8.83,9.81,14.53,7.93,7.93,9.97,598.9,,59.09,120.0,9.98,11.08,1.11,18.15,9.98,88.55,,0.0,13.65,23.12,0
5.06,25.06,,0.49,0.99,1.28,1525.27,356.58,1127.73,327.96,0.8,3.95,4.95,5.59,79.81,6.86,5.45,0.0,1.61,5.97,0
22.11,33.96,14.93,3.46,5.73,5.84,245.76,75.04,33.1,3.8,0.35,0.54,1.54,43.71,34.89,84.31,5.0,10.94,10.48,25.69,0
5.78,10.51,4.22,0.46,0.79,1.53,265.5,36.09,108.99,80.75,0.45,0.82,1.82,20.51,45.01,15.32,1.61,0.0,7.66,55.93,0
15.14,16.69,,7.47,11.11,11.11,189.77,61.29,16.83,,0.09,0.1,1.1,48.19,9.27,163.29,,0.0,13.17,46.6,0
1.2,17.76,0.41,0.04,0.4,1.51,124.36,25.69,62.07,78.41,0.93,13.77,14.77,46.05,93.23,2.49,3.17,7.84,11.34,64.77,0
39.76,46.79,12.42,0.39,1.11,6.23,113.7,12.16,16.71,85.48,0.15,0.18,1.18,55.17,14.95,283.18,12.04,0.0,3.46,15.82,0
2.53,9.52,1.05,0.24,0.26,1.11,151.63,1.9,55.21,93.61,0.73,2.77,3.77,9.07,73.44,11.35,1.51,36.52,1.92,25.83,0
26.0,76.82,23.25,0.56,1.75,5.32,325.47,41.71,37.32,133.31,0.66,1.95,2.95,28.76,66.15,-19.47,0.88,0.0,2.46,-46.43,0
-12.88,110.17,-589.78,0.8,0.88,0.88,16669.75,139.29,382.61,,1.12,-9.55,-8.55,-12.88,111.69,-3.3,0.97,70.16,0.0,0.0,0
8.97,19.34,4.76,0.92,1.16,1.78,193.14,24.12,99.06,60.73,53.65,115.75,2.16,24.15,53.65,25.14,5.88,0.0,8.06,44.01,0
4.23,73.35,0.91,0.0,0.82,0.99,78.47,58.66,72.26,12.33,0.94,16.35,17.35,41.6,94.24,5.19,0.85,0.0,5.82,63.14,0
7.36,24.07,2.45,0.52,0.67,1.29,121.14,12.62,54.97,50.8,0.69,2.27,3.27,18.33,69.42,22.54,2.84,23.5,3.65,32.82,0
