fold,name,majority,minority,selected_oversampled,not_selected_oversampled,clusters_count,selected_clusters
0,abalone_9_vs_18,551,33,863,657,19,9.0
1,abalone_9_vs_18,549,34,757,757,15,7.0
2,abalone_9_vs_18,549,34,697,817,17,8.0
3,abalone_9_vs_18,549,34,875,635,19,12.0
4,abalone_9_vs_18,550,33,1007,497,21,11.0
0,abalone_19_vs_10_11_12_13,1272,25,1131,384,19,9.0
1,abalone_19_vs_10_11_12_13,1272,25,361,1154,17,4.0
2,abalone_19_vs_10_11_12_13,1270,26,456,1050,18,7.0
3,abalone_19_vs_10_11_12_13,1270,26,1064,443,18,12.0
4,abalone_19_vs_10_11_12_13,1270,26,914,582,16,7.0
0,abalone_20_vs_8_9_10,1512,20,315,1189,23,8.0
1,abalone_20_vs_8_9_10,1512,19,899,613,20,10.0
2,abalone_20_vs_8_9_10,1512,19,684,818,16,8.0
3,abalone_20_vs_8_9_10,1512,19,1001,499,18,12.0
4,abalone_20_vs_8_9_10,1512,19,1152,353,23,9.0
0,white_9_vs_4,130,4,975,525,26,17.0
1,white_9_vs_4,130,4,1111,391,24,17.0
2,white_9_vs_4,130,4,980,521,22,13.0
3,white_9_vs_4,129,4,1045,457,24,16.0
4,white_9_vs_4,129,4,630,870,24,9.0
0,white_3_vs_7,704,16,1086,417,26,17.0
1,white_3_vs_7,704,16,705,796,20,13.0
2,white_3_vs_7,704,16,428,1077,22,10.0
3,white_3_vs_7,704,16,1036,473,26,20.0
4,white_3_vs_7,704,16,791,714,22,12.0
0,red_8_vs_6,510,14,686,821,25,14.0
1,red_8_vs_6,508,15,1146,359,23,14.0
2,red_8_vs_6,508,15,213,1289,21,7.0
3,red_8_vs_6,509,14,686,821,26,14.0
4,red_8_vs_6,509,14,596,911,25,9.0
0,red_3_vs_5,544,8,754,749,31,14.0
1,red_3_vs_5,543,8,936,568,31,18.0
2,red_3_vs_5,543,8,971,533,25,15.0
3,red_3_vs_5,543,8,1029,476,29,19.0
4,red_3_vs_5,543,8,695,809,29,9.0
0,ecoli_0_vs_1,62,114,1077,453,21,15.0
1,ecoli_0_vs_1,62,114,605,925,18,8.0
2,ecoli_0_vs_1,62,114,1068,462,21,13.0
3,ecoli_0_vs_1,61,115,868,658,18,11.0
4,ecoli_0_vs_1,61,115,925,601,16,9.0
0,ecoli_0_4_6_vs_5,146,16,638,866,19,10.0
1,ecoli_0_4_6_vs_5,146,16,1037,467,20,13.0
2,ecoli_0_4_6_vs_5,146,16,736,768,24,10.0
3,ecoli_0_4_6_vs_5,147,14,956,547,19,11.0
4,ecoli_0_4_6_vs_5,147,14,662,842,21,10.0
0,ecoli_0_3_4_vs_5,144,16,323,1181,21,7.0
1,ecoli_0_3_4_vs_5,144,16,604,900,22,9.0
2,ecoli_0_3_4_vs_5,144,16,1112,391,25,18.0
3,ecoli_0_3_4_vs_5,144,16,705,798,20,9.0
4,ecoli_0_3_4_vs_5,144,16,681,823,24,10.0
0,ecoli_0_2_3_4_vs_5,145,16,681,824,19,10.0
1,ecoli_0_2_3_4_vs_5,145,16,763,741,22,10.0
2,ecoli_0_2_3_4_vs_5,146,14,917,587,22,17.0
3,ecoli_0_2_3_4_vs_5,146,14,397,1106,19,8.0
4,ecoli_0_2_3_4_vs_5,146,14,838,666,24,10.0
0,glass_2,157,14,1233,271,26,16.0
1,glass_2,157,14,1093,411,28,16.0
2,glass_2,158,13,991,513,26,13.0
3,glass_2,158,13,991,514,24,11.0
4,glass_2,156,14,0,1506,25,0.0
0,glass_4,160,11,1032,474,27,15.0
1,glass_4,161,10,1004,499,31,18.0
2,glass_4,161,10,441,1062,25,12.0
3,glass_4,161,10,881,622,25,10.0
4,glass_4,159,11,922,579,27,10.0
0,glass_5,164,7,1072,430,21,14.0
1,glass_5,164,7,593,910,22,11.0
2,glass_5,164,7,537,966,22,11.0
3,glass_5,164,7,519,984,26,12.0
4,glass_5,162,8,665,835,25,14.0
0,glass_0_1_6_vs_5,140,7,773,729,20,10.0
1,glass_0_1_6_vs_5,140,7,802,699,23,10.0
2,glass_0_1_6_vs_5,140,7,579,924,23,9.0
3,glass_0_1_6_vs_5,140,7,931,571,22,14.0
4,glass_0_1_6_vs_5,140,6,188,1312,22,6.0
0,yeast_3,1056,131,328,1217,11,5.0
1,yeast_3,1057,130,197,1340,9,3.0
2,yeast_3,1057,130,926,596,8,3.0
3,yeast_3,1057,130,1253,281,11,5.0
4,yeast_3,1056,130,145,1378,11,7.0
0,yeast_4,1146,41,818,694,15,6.0
1,yeast_4,1146,41,977,530,13,5.0
2,yeast_4,1146,41,631,882,16,8.0
3,yeast_4,1147,40,915,585,15,10.0
4,yeast_4,1146,40,1291,221,14,7.0
0,yeast_5,1152,35,835,675,19,12.0
1,yeast_5,1152,35,614,891,18,8.0
2,yeast_5,1152,35,859,656,18,9.0
3,yeast_5,1152,35,1316,197,20,14.0
4,yeast_5,1150,36,742,763,19,9.0
0,yeast_6,1159,28,932,578,20,11.0
1,yeast_6,1159,28,839,669,22,12.0
2,yeast_6,1159,28,873,633,19,8.0
3,yeast_6,1159,28,766,742,20,8.0
4,yeast_6,1158,28,452,1060,17,3.0
