fold,name,majority,minority,selected_oversampled,not_selected_oversampled,clusters_count,selected_clusters
0,abalone_3_vs_11,389,12,377,0,1,1.0
1,abalone_3_vs_11,389,12,377,0,1,1.0
2,abalone_3_vs_11,388,12,378,0,1,1.0
3,abalone_3_vs_11,388,12,378,0,1,1.0
4,abalone_3_vs_11,388,12,378,0,1,1.0
0,abalone_9_vs_18,551,33,518,0,8,8.0
1,abalone_9_vs_18,549,34,228,289,11,5.0
2,abalone_9_vs_18,549,34,0,517,7,0.0
3,abalone_9_vs_18,549,34,104,413,16,3.0
4,abalone_9_vs_18,550,33,336,183,16,10.0
0,abalone_19_vs_10_11_12_13,1272,25,1247,0,2,2.0
1,abalone_19_vs_10_11_12_13,1272,25,1247,0,2,2.0
2,abalone_19_vs_10_11_12_13,1270,26,1246,0,2,2.0
3,abalone_19_vs_10_11_12_13,1270,26,1246,0,2,2.0
4,abalone_19_vs_10_11_12_13,1270,26,1246,0,2,2.0
0,abalone_20_vs_8_9_10,1512,20,1492,0,4,4.0
1,abalone_20_vs_8_9_10,1512,19,1491,0,2,2.0
2,abalone_20_vs_8_9_10,1512,19,1491,0,4,4.0
3,abalone_20_vs_8_9_10,1512,19,1491,0,3,3.0
4,abalone_20_vs_8_9_10,1512,19,1491,0,3,3.0
0,white_9_vs_4,130,4,126,0,1,1.0
1,white_9_vs_4,130,4,126,0,4,4.0
2,white_9_vs_4,130,4,126,0,4,4.0
3,white_9_vs_4,129,4,0,127,4,0.0
4,white_9_vs_4,129,4,127,0,3,3.0
0,white_3_vs_7,704,16,117,571,27,8.0
1,white_3_vs_7,704,16,121,567,24,12.0
2,white_3_vs_7,704,16,444,244,28,13.0
3,white_3_vs_7,704,16,548,140,21,13.0
4,white_3_vs_7,704,16,11,677,32,1.0
0,red_8_vs_6,510,14,443,53,11,6.0
1,red_8_vs_6,508,15,459,36,15,12.0
2,red_8_vs_6,508,15,71,424,17,7.0
3,red_8_vs_6,509,14,117,380,11,3.0
4,red_8_vs_6,509,14,12,485,9,2.0
0,red_3_vs_5,544,8,58,478,14,5.0
1,red_3_vs_5,543,8,205,332,12,6.0
2,red_3_vs_5,543,8,64,473,11,3.0
3,red_3_vs_5,543,8,87,450,11,4.0
4,red_3_vs_5,543,8,0,537,16,0.0
0,ecoli_0_vs_1,62,114,6,46,2,1.0
1,ecoli_0_vs_1,62,114,52,0,4,4.0
2,ecoli_0_vs_1,62,114,52,0,1,1.0
3,ecoli_0_vs_1,61,115,7,47,3,1.0
4,ecoli_0_vs_1,61,115,0,54,1,0.0
0,ecoli_0_4_6_vs_5,146,16,47,83,5,4.0
1,ecoli_0_4_6_vs_5,146,16,5,125,5,1.0
2,ecoli_0_4_6_vs_5,146,16,116,14,5,3.0
3,ecoli_0_4_6_vs_5,147,14,93,38,5,3.0
4,ecoli_0_4_6_vs_5,147,14,0,131,5,0.0
0,ecoli_0_3_4_vs_5,144,16,128,0,4,4.0
1,ecoli_0_3_4_vs_5,144,16,119,9,6,5.0
2,ecoli_0_3_4_vs_5,144,16,103,25,3,2.0
3,ecoli_0_3_4_vs_5,144,16,0,128,3,0.0
4,ecoli_0_3_4_vs_5,144,16,10,118,3,1.0
0,ecoli_0_2_3_4_vs_5,145,16,100,29,4,3.0
1,ecoli_0_2_3_4_vs_5,145,16,104,25,6,4.0
2,ecoli_0_2_3_4_vs_5,146,14,119,11,7,5.0
3,ecoli_0_2_3_4_vs_5,146,14,0,130,3,0.0
4,ecoli_0_2_3_4_vs_5,146,14,0,130,5,0.0
0,glass_2,157,14,127,16,5,4.0
1,glass_2,157,14,0,143,3,0.0
2,glass_2,158,13,138,7,5,4.0
3,glass_2,158,13,0,145,3,0.0
4,glass_2,156,14,17,127,3,2.0
0,glass_4,160,11,101,48,7,5.0
1,glass_4,161,10,58,93,12,4.0
2,glass_4,161,10,72,79,5,3.0
3,glass_4,161,10,0,151,6,0.0
4,glass_4,159,11,0,150,6,0.0
0,glass_5,164,7,9,148,3,2.0
1,glass_5,164,7,13,144,4,1.0
2,glass_5,164,7,152,5,4,3.0
3,glass_5,164,7,124,33,6,4.0
4,glass_5,162,8,24,132,4,1.0
0,glass_0_1_6_vs_5,140,7,112,21,5,3.0
1,glass_0_1_6_vs_5,140,7,48,85,6,2.0
2,glass_0_1_6_vs_5,140,7,110,23,4,2.0
3,glass_0_1_6_vs_5,140,7,19,114,6,3.0
4,glass_0_1_6_vs_5,140,6,0,132,3,0.0
0,yeast_3,1056,131,850,75,18,11.0
1,yeast_3,1057,130,835,92,16,6.0
2,yeast_3,1057,130,197,730,18,5.0
3,yeast_3,1057,130,786,141,20,15.0
4,yeast_3,1056,130,42,884,15,7.0
0,yeast_4,1146,41,1018,87,12,4.0
1,yeast_4,1146,41,960,145,12,8.0
2,yeast_4,1146,41,100,1005,11,6.0
3,yeast_4,1147,40,1107,0,10,10.0
4,yeast_4,1146,40,138,968,8,4.0
0,yeast_5,1152,35,1117,0,4,4.0
1,yeast_5,1152,35,1117,0,4,4.0
2,yeast_5,1152,35,1117,0,5,5.0
3,yeast_5,1152,35,1117,0,6,6.0
4,yeast_5,1150,36,1116,0,5,5.0
0,yeast_6,1159,28,1131,0,5,5.0
1,yeast_6,1159,28,1131,0,7,7.0
2,yeast_6,1159,28,1096,35,4,2.0
3,yeast_6,1159,28,0,1131,4,0.0
4,yeast_6,1158,28,0,1132,3,0.0
