fold,name,majority,minority,selected_oversampled,not_selected_oversampled,clusters_count,selected_clusters
0,abalone_3_vs_11,389,12,116,261,29,10
1,abalone_3_vs_11,389,12,92,285,24,7
2,abalone_3_vs_11,388,12,166,212,29,17
3,abalone_3_vs_11,388,12,164,214,31,12
4,abalone_3_vs_11,388,12,292,86,29,18
0,abalone_9_vs_18,551,33,135,383,22,11
1,abalone_9_vs_18,549,34,349,168,18,9
2,abalone_9_vs_18,549,34,302,215,23,10
3,abalone_9_vs_18,549,34,121,396,20,11
4,abalone_9_vs_18,550,33,210,309,18,8
0,abalone_19_vs_10_11_12_13,1272,25,481,766,20,10
1,abalone_19_vs_10_11_12_13,1272,25,711,536,20,9
2,abalone_19_vs_10_11_12_13,1270,26,1076,170,14,10
3,abalone_19_vs_10_11_12_13,1270,26,808,438,15,7
4,abalone_19_vs_10_11_12_13,1270,26,775,471,17,10
0,abalone_20_vs_8_9_10,1512,20,817,675,17,6
1,abalone_20_vs_8_9_10,1512,19,812,679,15,8
2,abalone_20_vs_8_9_10,1512,19,1104,387,18,10
3,abalone_20_vs_8_9_10,1512,19,783,708,18,11
4,abalone_20_vs_8_9_10,1512,19,491,1000,16,7
0,white_9_vs_4,130,4,78,48,21,13
1,white_9_vs_4,130,4,46,80,19,9
2,white_9_vs_4,130,4,57,69,20,11
3,white_9_vs_4,129,4,50,77,25,12
4,white_9_vs_4,129,4,58,69,23,14
0,white_3_vs_7,704,16,594,94,21,13
1,white_3_vs_7,704,16,337,351,21,13
2,white_3_vs_7,704,16,304,384,26,11
3,white_3_vs_7,704,16,215,473,18,4
4,white_3_vs_7,704,16,193,495,25,10
0,red_8_vs_6,510,14,156,340,25,9
1,red_8_vs_6,508,15,274,221,22,11
2,red_8_vs_6,508,15,235,260,25,14
3,red_8_vs_6,509,14,193,304,31,14
4,red_8_vs_6,509,14,268,229,30,12
0,red_3_vs_5,544,8,114,422,30,9
1,red_3_vs_5,543,8,315,222,32,17
2,red_3_vs_5,543,8,186,351,27,13
3,red_3_vs_5,543,8,329,208,31,17
4,red_3_vs_5,543,8,55,482,31,1
0,ecoli_0_vs_1,62,114,39,13,27,17
1,ecoli_0_vs_1,62,114,21,31,25,8
2,ecoli_0_vs_1,62,114,19,33,26,10
3,ecoli_0_vs_1,61,115,29,25,28,15
4,ecoli_0_vs_1,61,115,34,20,29,18
