,dataset,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN
0,abalone_3_vs_11,99.4_{2},,100.0_{0}
1,abalone_9_vs_18,85.8_{6},86.8_{4},85.0_{5}
2,abalone_19_vs_10_11_12_13,74.6_{6},73.4_{7},71.1_{6}
3,abalone_20_vs_8_9_10,92.1_{5},92.7_{4},91.4_{6}
4,white_9_vs_4,79.7_{40},80.0_{41},80.0_{41}
5,white_3_vs_7,86.2_{5},86.9_{7},82.5_{13}
6,red_8_vs_6,87.3_{11},85.7_{5},85.2_{10}
7,red_3_vs_5,48.0_{41},47.8_{41},68.9_{37}
8,ecoli_0_vs_1,98.7_{2},98.7_{2},98.7_{2}
9,ecoli_0_4_6_vs_5,95.7_{6},93.9_{6},95.7_{5}
10,ecoli_0_3_4_vs_5,93.9_{7},95.4_{6},96.5_{6}
11,ecoli_0_2_3_4_vs_5,93.7_{7},91.3_{8},95.7_{6}
12,glass_2,94.6_{3},93.2_{8},95.4_{3}
13,glass_4,95.2_{8},96.1_{8},95.9_{8}
14,glass_5,99.8_{1},99.6_{1},99.6_{1}
15,glass_0_1_6_vs_5,99.5_{1},99.5_{1},99.5_{1}
16,yeast_3,90.0_{1},90.8_{3},90.0_{1}
17,yeast_4,86.3_{6},86.5_{3},85.5_{4}
18,yeast_5,98.2_{1},98.2_{1},98.5_{1}
19,yeast_6,91.7_{4},90.7_{7},89.1_{6}
