,dataset,SVC_WEIGHTED,SVC_SMOTE,AdasynSVC,XGBOOST_SMOTE,Adacost,SelfPaced,TabNetSmote,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT
0,abalone_3_vs_11,82.1_{16},82.1_{16},0,99.7_{1},100.0_{0},100.0_{0},96.9_{1},99.4_{2}
1,abalone_9_vs_18,0.0_{0},47.5_{4},71.7_{4},69.4_{11},74.7_{8},76.6_{11},85.4_{7},85.8_{6}
2,abalone_19_vs_10_11_12_13,0.0_{0},34.2_{5},46.9_{8},68.0_{10},70.7_{6},73.3_{9},61.9_{8},74.6_{6}
3,abalone_20_vs_8_9_10,0.0_{0},40.4_{21},54.1_{31},85.1_{8},84.2_{8},89.7_{7},79.1_{12},92.1_{5}
4,white_9_vs_4,80.0_{41},80.0_{41},40.0_{49},60.0_{49},74.6_{38},76.3_{39},79.4_{4},79.7_{40}
5,white_3_vs_7,58.3_{11},61.1_{17},0.0_{0},69.9_{13},74.1_{9},77.0_{8},73.0_{6},86.2_{5}
6,red_8_vs_6,41.3_{21},74.1_{18},41.5_{21},84.5_{11},80.4_{7},88.2_{6},74.0_{11},87.3_{11}
7,red_3_vs_5,0.0_{0},33.5_{42},0.0_{0},47.0_{40},62.6_{34},60.7_{33},48.0_{41},48.0_{41}
8,ecoli_0_vs_1,98.7_{2},98.7_{2},98.0_{2},98.4_{3},98.7_{2},98.7_{2},86.8_{5},98.7_{2}
9,ecoli_0_4_6_vs_5,89.1_{6},91.0_{7},88.6_{6},90.9_{6},91.2_{6},91.0_{12},84.3_{5},95.7_{6}
10,ecoli_0_3_4_vs_5,91.2_{7},91.5_{7},88.8_{6},91.5_{7},92.0_{5},90.8_{12},79.0_{5},93.9_{7}
11,ecoli_0_2_3_4_vs_5,88.8_{11},91.3_{7},88.9_{6},94.2_{8},91.8_{7},94.2_{8},79.2_{6},93.7_{7}
12,glass_2,62.3_{32},76.7_{5},76.9_{14},78.4_{6},79.7_{16},85.7_{7},64.7_{10},94.6_{3}
13,glass_4,95.6_{7},59.2_{34},59.2_{34},95.4_{8},93.1_{7},94.9_{7},72.6_{9},95.2_{8}
14,glass_5,93.7_{12},68.3_{37},68.3_{37},73.9_{39},94.8_{3},99.3_{1},80.6_{11},99.8_{1}
15,glass_0_1_6_vs_5,87.6_{15},62.5_{34},62.5_{34},73.3_{39},99.5_{1},99.2_{1},79.4_{7},99.5_{1}
16,yeast_3,92.6_{1},88.2_{2},88.3_{3},93.6_{2},93.0_{2},90.8_{3},91.0_{3},90.0_{1}
17,yeast_4,55.9_{10},52.9_{9},62.2_{9},78.1_{11},84.1_{3},81.6_{10},77.7_{12},86.3_{6}
18,yeast_5,97.4_{1},90.8_{6},88.5_{5},95.6_{3},95.0_{2},97.0_{3},98.2_{3},98.2_{1}
19,yeast_6,74.8_{10},77.8_{7},73.7_{6},82.9_{9},81.7_{7},88.1_{9},82.8_{9},91.7_{4}
