,dataset,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN
0,abalone_3_vs_11,99.4,,100.0
1,abalone_9_vs_18,86.0,87.1,85.3
2,abalone_19_vs_10_11_12_13,75.2,74.2,71.5
3,abalone_20_vs_8_9_10,92.3,92.9,91.6
4,white_9_vs_4,89.7,90.0,90.0
5,white_3_vs_7,86.6,87.2,84.1
6,red_8_vs_6,88.2,86.4,86.0
7,red_3_vs_5,69.1,68.9,77.8
8,ecoli_0_vs_1,98.7,98.7,98.7
9,ecoli_0_4_6_vs_5,95.9,94.2,95.9
10,ecoli_0_3_4_vs_5,94.2,95.6,96.7
11,ecoli_0_2_3_4_vs_5,94.0,91.7,95.9
12,glass_2,94.7,93.4,95.5
13,glass_4,95.5,96.5,96.2
14,glass_5,99.8,99.6,99.6
15,glass_0_1_6_vs_5,99.5,99.5,99.5
16,yeast_3,90.2,91.0,90.1
17,yeast_4,86.5,86.9,85.7
18,yeast_5,98.2,98.2,98.6
19,yeast_6,91.8,90.9,89.2
