,dataset,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN
0,abalone_3_vs_11,99.4,,100.0
1,abalone_9_vs_18,85.8,86.8,85.0
2,abalone_19_vs_10_11_12_13,74.6,73.4,71.1
3,abalone_20_vs_8_9_10,92.1,92.7,91.4
4,white_9_vs_4,79.7,80.0,80.0
5,white_3_vs_7,86.2,86.9,82.5
6,red_8_vs_6,87.3,85.7,85.2
7,red_3_vs_5,48.0,47.8,68.9
8,ecoli_0_vs_1,98.7,98.7,98.7
9,ecoli_0_4_6_vs_5,95.7,93.9,95.7
10,ecoli_0_3_4_vs_5,93.9,95.4,96.5
11,ecoli_0_2_3_4_vs_5,93.7,91.3,95.7
12,glass_2,94.6,93.2,95.4
13,glass_4,95.2,96.1,95.9
14,glass_5,99.8,99.6,99.6
15,glass_0_1_6_vs_5,99.5,99.5,99.5
16,yeast_3,90.0,90.8,90.0
17,yeast_4,86.3,86.5,85.5
18,yeast_5,98.2,98.2,98.5
19,yeast_6,91.7,90.7,89.1
