,dataset,SVC_WEIGHTED,SVC_SMOTE,AdasynSVC,XGBOOST_SMOTE,Adacost,SelfPaced,TabNetSmote,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT
0,abalone_9_vs_18,50.0,54.9,73.6,73.1,75.0,78.6,85.8,86.0
1,abalone_19_vs_10_11_12_13,50.0,45.5,57.5,69.8,72.5,73.7,67.8,75.2
2,abalone_20_vs_8_9_10,50.0,54.5,68.3,85.9,84.6,89.8,81.3,92.3
3,abalone19,55.8,52.8,52.8,69.9,77.3,76.6,58.7,79.2
4,white_9_vs_4,90.0,90.0,70.0,79.7,84.5,86.1,81.6,89.7
5,white_3_vs_7,67.5,67.5,50.0,73.5,75.6,78.5,76.4,86.6
6,red_8_vs_6,60.0,76.7,60.6,85.3,81.5,88.5,75.2,88.2
7,red_3_vs_5,49.5,63.5,50.0,67.3,73.7,72.2,69.5,69.1
8,ecoli_0_vs_1,98.7,98.7,98.0,98.4,98.7,98.7,86.9,98.7
9,ecoli_0_4_6_vs_5,89.8,91.4,89.2,91.4,91.5,92.0,84.6,95.9
10,ecoli_0_3_4_vs_5,91.7,92.0,89.5,92.0,92.3,91.7,79.5,94.2
11,ecoli_0_2_3_4_vs_5,90.0,91.7,89.5,94.5,92.0,94.5,79.6,94.0
12,glass_2,73.6,78.0,79.9,80.0,81.0,86.3,67.9,94.7
13,glass_4,96.0,73.1,73.1,95.7,93.5,95.2,74.1,95.5
14,glass_5,94.6,80.0,80.0,84.8,94.9,99.3,82.2,99.8
15,glass_0_1_6_vs_5,89.2,75.0,75.0,83.9,99.5,99.2,81.8,99.5
16,yeast_3,92.6,88.5,88.4,93.6,93.0,90.8,91.1,90.2
17,yeast_4,65.3,63.8,68.9,79.1,85.4,82.5,80.0,86.5
18,yeast_5,97.4,91.2,89.2,95.7,95.1,97.1,98.2,98.2
19,yeast_6,78.4,79.9,76.4,84.4,82.3,88.6,84.2,91.8
