,dataset,SVC_WEIGHTED,SVC_SMOTE,AdasynSVC,XGBOOST_SMOTE,Adacost,SelfPaced,TabNetSmote,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT
0,abalone_9_vs_18,0.0,47.5,71.7,69.4,74.7,76.6,85.4,85.8
1,abalone_19_vs_10_11_12_13,0.0,34.2,46.9,68.0,70.7,73.3,61.9,74.6
2,abalone_20_vs_8_9_10,0.0,40.4,54.1,85.1,84.2,89.7,79.1,92.1
3,abalone19,26.6,15.7,15.7,68.4,76.1,76.5,42.7,78.4
4,white_9_vs_4,80.0,80.0,40.0,60.0,74.6,76.3,79.4,79.7
5,white_3_vs_7,58.3,61.1,0.0,69.9,74.1,77.0,73.0,86.2
6,red_8_vs_6,41.3,74.1,41.5,84.5,80.4,88.2,74.0,87.3
7,red_3_vs_5,0.0,33.5,0.0,47.0,62.6,60.7,48.0,48.0
8,ecoli_0_vs_1,98.7,98.7,98.0,98.4,98.7,98.7,86.8,98.7
9,ecoli_0_4_6_vs_5,89.1,91.0,88.6,90.9,91.2,91.0,84.3,95.7
10,ecoli_0_3_4_vs_5,91.2,91.5,88.8,91.5,92.0,90.8,79.0,93.9
11,ecoli_0_2_3_4_vs_5,88.8,91.3,88.9,94.2,91.8,94.2,79.2,93.7
12,glass_2,62.3,76.7,76.9,78.4,79.7,85.7,64.7,94.6
13,glass_4,95.6,59.2,59.2,95.4,93.1,94.9,72.6,95.2
14,glass_5,93.7,68.3,68.3,73.9,94.8,99.3,80.6,99.8
15,glass_0_1_6_vs_5,87.6,62.5,62.5,73.3,99.5,99.2,79.4,99.5
16,yeast_3,92.6,88.2,88.3,93.6,93.0,90.8,91.0,90.0
17,yeast_4,55.9,52.9,62.2,78.1,84.1,81.6,77.7,86.3
18,yeast_5,97.4,90.8,88.5,95.6,95.0,97.0,98.2,98.2
19,yeast_6,74.8,77.8,73.7,82.9,81.7,88.1,82.8,91.7
