,dataset,SVC_WEIGHTED,SVC_SMOTE,AdasynSVC,XGBOOST_SMOTE,Adacost,SelfPaced,TabNetSmote,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT
0,abalone_3_vs_11,6,6,8,3,1,1,5,4
1,abalone_9_vs_18,8,7,5,6,4,3,2,1
2,abalone_19_vs_10_11_12_13,7,8,6,4,3,2,5,1
3,abalone_20_vs_8_9_10,8,7,6,3,4,2,5,1
4,white_9_vs_4,1,1,8,7,5,4,6,3
5,white_3_vs_7,6,6,8,5,4,2,3,1
6,red_8_vs_6,8,5,7,3,4,1,6,2
7,red_3_vs_5,8,6,7,5,1,2,3,4
8,ecoli_0_vs_1,1,1,7,6,1,1,8,1
9,ecoli_0_4_6_vs_5,6,4,7,4,3,2,8,1
10,ecoli_0_3_4_vs_5,5,3,7,3,2,5,8,1
11,ecoli_0_2_3_4_vs_5,6,5,7,1,4,1,8,3
12,glass_2,7,6,5,4,3,2,8,1
13,glass_4,1,7,7,2,5,4,6,3
14,glass_5,4,7,7,5,3,2,6,1
15,glass_0_1_6_vs_5,4,7,7,5,1,3,6,1
16,yeast_3,3,7,8,1,2,5,4,6
17,yeast_4,7,8,6,5,2,3,4,1
18,yeast_5,3,7,8,5,6,4,1,1
19,yeast_6,7,6,8,3,5,2,4,1
